@relation Sub1_A_32

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute class {0,1}

@data
35.712661,52.581369,7.222332,42.925024,-10.701592,3.684045,5.460891,-4.39619,-9.045527,7.521953,4.614074,-0.282801,-5.556656,2.583924,2.110384,-0.401207,25.116658,35.390408,4.194757,30.481549,-6.830678,1.407775,3.170411,-3.641718,-12.649886,4.047084,4.709617,-1.325721,-5.062091,4.321521,2.103821,-0.302596,16.962198,24.976493,3.254747,22.002502,-8.307017,3.313558,4.220249,-3.454283,-12.29469,7.192418,5.750257,0.171672,-4.287351,3.315539,2.168129,-0.152647,-5.830292,2.935641,3.913759,-1.550315,-7.280959,2.248379,3.590995,-2.224975,-4.83836,6.050937,3.289386,0.531144,-2.796046,3.293149,1.850329,-0.064875,-42.594044,68.756114,45.294788,34.970252,-59.878028,23.255985,30.473033,-25.941952,-35.455233,24.098996,22.578443,-10.774382,-23.758552,9.087238,10.736091,-3.115631,6.851723,10.968395,1.616803,8.988678,-8.774239,0.98392,3.64228,-2.836166,-3.208538,6.149379,2.91262,0.743001,-3.265297,2.795762,1.509736,0.00881,1
37.95963,60.479215,9.157488,47.330693,-6.861275,4.999808,4.685545,-0.745742,-6.137717,6.782994,3.876292,-0.523129,-6.020096,6.378458,3.452922,0.188793,29.070578,52.060967,9.108993,39.084727,-5.924085,1.515233,2.9579,-1.470815,-6.324153,3.119846,2.731955,-0.342128,-6.537729,7.134403,3.202255,0.069892,23.36775,43.375809,7.691412,35.569637,-4.927168,7.088609,4.281842,0.725371,-7.202078,5.4707,4.2446,-0.440958,-2.99507,2.82674,1.533314,0.034789,9.797872,28.948144,7.660615,16.903966,-7.13816,8.555854,6.143044,-1.274598,-2.429555,9.181451,4.184356,2.238945,-4.285055,4.32559,2.476063,0.20648,127.345529,228.10741,36.922053,184.813662,-16.049981,69.933453,34.711773,10.278792,-27.229711,25.03195,14.821322,-4.848858,-10.984246,24.982086,9.14083,0.259988,5.671351,12.295103,2.443649,8.535175,-2.987545,2.953075,2.678777,-0.066934,-1.225373,3.809532,1.654466,0.605806,-2.766358,3.554611,1.536261,0.134963,1
36.37103,42.387608,2.423533,38.669707,-5.886875,8.021871,5.133663,2.156037,-12.228918,1.334488,4.535578,-4.100355,-4.026009,4.085507,2.571395,-0.025476,25.601357,32.186221,2.344475,28.633555,-5.48341,2.875524,3.038943,-1.573833,-6.363236,1.883305,2.77257,-1.730067,-4.275074,4.341312,2.109574,0.043887,17.457287,20.182492,0.971145,18.856477,-6.538447,3.438862,3.573788,-1.551208,-9.458284,6.67264,5.345106,-1.690292,-2.009676,4.056535,1.73961,0.176741,-24.878296,4.615415,11.053943,-6.518102,-12.355237,5.683426,6.660496,-1.463389,-6.462734,3.551784,2.682154,-1.335535,-5.302799,5.335769,2.33196,0.07276,286.230716,756.526176,191.664737,433.03911,-146.68085,-11.857065,54.416894,-57.735656,-69.065839,18.313646,25.429797,-23.324303,-24.886228,10.708701,10.006148,-5.87604,3.201257,6.175531,1.117352,4.32548,-3.777572,2.193926,2.420588,0.259205,-1.945312,1.616599,1.151951,-0.769915,-2.528516,1.773503,1.078817,-0.106555,1
5.158384,22.473756,6.213957,12.886792,-9.521207,0.678684,3.896954,-4.02194,-3.229102,8.079861,3.689939,1.598561,-4.552548,4.822546,2.710663,0.170885,-2.259991,19.794009,7.819069,9.276726,-6.118885,0.403795,2.706072,-3.011106,-6.602309,8.086857,4.747518,1.167948,-4.79853,5.077977,3.069514,0.056566,-3.854705,6.58197,3.865872,0.215923,-6.354998,4.998063,4.228965,-1.839173,-5.888244,4.462373,2.920534,-0.133941,-3.038536,2.039327,1.588731,-0.094736,-24.86019,-15.643303,3.441069,-20.380879,-6.252027,0.564605,2.735504,-2.120425,-2.372228,7.844983,3.788083,2.450402,-4.836147,3.772815,2.358159,-0.051591,670.954299,947.196176,99.876,796.2422,8.907792,75.352061,26.456893,38.378676,-1.183124,30.528328,10.532595,17.019468,-11.641684,13.520947,7.795305,2.773464,-17.71908,0.416191,7.094116,-6.790911,-8.071473,-2.296343,2.178445,-4.430333,-4.473007,5.311377,3.597502,0.829552,-4.306472,4.039817,2.060267,0.214959,1
0.134858,25.488179,10.651555,11.359216,-6.29106,6.491348,5.087771,1.301953,-11.422954,6.337691,5.345125,-2.790867,-5.562129,6.079467,2.939099,-0.052153,11.996648,28.020503,6.388268,17.724379,-4.526912,4.440662,3.265477,-0.100162,-8.196574,10.820714,6.288622,0.183787,-6.577222,5.830644,2.990145,-0.014291,3.028281,23.354344,8.202769,9.284918,-4.755717,4.360076,3.649243,-0.828948,-8.211545,8.307924,5.669539,-0.62299,-5.561026,3.540216,2.410117,-0.133336,-15.264101,26.744288,16.04258,-0.075416,-8.489758,4.343362,4.630831,-2.998811,-8.062839,5.604942,4.998481,-2.573321,-4.290971,3.552463,2.056669,-0.427457,439.935418,547.705976,38.412753,498.448467,-24.707259,82.103215,39.952197,16.829743,-19.177464,30.42283,13.495016,6.359167,-14.953953,18.271786,8.447744,1.754,-23.442854,2.046399,10.014324,-13.175084,-5.645945,1.467281,2.739123,-1.873877,-5.774608,6.265678,3.827327,0.098031,-5.072853,4.050214,2.184342,-0.234496,1
4.462415,23.212632,7.133031,14.243153,-5.141742,3.56448,3.419721,-0.896319,-6.249176,10.224491,5.244731,3.93515,-2.535619,4.05974,1.80208,0.07722,1.201979,19.05636,6.733126,11.320886,-5.086505,3.817032,3.424528,-0.610056,-10.020064,6.2867,5.811333,1.372893,-3.806892,4.324242,2.292689,0.106025,8.162181,19.449771,4.584598,15.440288,-5.055409,2.310791,2.907004,-2.66384,-6.075628,6.825553,4.259542,2.144896,-3.290997,4.821455,2.316008,0.046802,-1.517359,36.640554,15.011114,24.040224,-4.963457,16.842422,9.053752,4.269588,-4.78253,9.616646,4.40838,0.582849,-4.575819,4.53989,2.77385,0.007683,425.771018,623.581824,81.587033,483.514253,-95.079748,76.215444,62.123958,-2.31611,-87.691512,64.72106,41.44121,-0.68922,-40.3859,24.684261,14.402062,0.393968,-18.237859,0.503231,7.201396,-7.48661,-5.229745,5.580312,5.035093,0.19288,-3.252182,8.411409,3.498862,2.174642,-4.817162,5.315873,3.052442,-0.007341,1
-25.058674,16.857578,15.786211,-4.009301,-13.108992,1.925668,5.811347,-5.608448,-3.938688,8.819004,3.765934,-0.234777,-3.816898,2.763418,2.382759,-0.510414,-9.450835,21.734278,13.1049,7.975962,-12.792156,0.3917,5.444425,-4.597886,-3.708855,6.32807,3.15359,0.35778,-4.026036,3.28317,1.748725,-0.419564,-10.866285,11.614144,9.413615,-1.741973,-5.773562,0.304231,2.224354,-2.263396,-2.838519,4.864097,2.431558,0.104664,-5.048475,2.280778,2.079213,-0.429088,-9.572104,1.611155,4.245469,-2.488007,-8.091032,2.684112,4.17674,-1.535925,-4.322642,5.213681,3.058675,0.934657,-4.576412,4.040869,2.457464,-0.129061,-337.249277,-33.565101,122.1884,-170.638234,4.483399,120.042879,45.421526,42.765635,-31.891902,50.105479,28.503789,18.716101,-19.876825,24.177326,12.379912,2.919608,-27.185109,-6.118167,9.006927,-14.861937,-8.558256,-0.419623,3.247244,-5.657252,-8.522532,3.542311,3.300273,-1.765544,-3.800422,2.768293,1.993207,-0.28368,1
-10.571242,35.277281,16.873207,13.361476,-16.319438,22.723499,14.069027,0.672627,-0.926179,9.031649,3.460479,3.256432,-2.735908,6.32759,2.681581,0.551244,-8.091543,28.029656,14.174354,14.150547,-12.595581,15.189379,10.208296,-0.930335,-6.862659,6.968942,4.032933,0.72945,-4.275231,4.328798,2.599417,0.377871,-12.135661,20.213714,12.3989,7.772103,-9.739799,13.371077,8.489617,-0.44884,-7.973746,7.320106,4.409762,0.59905,-3.273645,5.592062,2.5,0.514126,-8.617483,16.420725,8.880485,3.926017,-6.63589,19.679355,10.798333,1.074477,-10.499988,9.620943,6.007116,0.121688,-3.55099,3.56518,2.113948,0.146308,-377.776392,-158.302991,85.48789,-232.62902,-83.761267,60.106283,52.378751,-24.053109,-42.553993,5.503153,18.179747,-19.921808,-25.168026,36.105084,14.091612,-1.398933,-17.943931,9.55826,11.150307,-4.682804,-6.514582,13.314734,7.587883,0.847613,-1.239645,6.451515,2.388381,2.089075,-3.54851,3.546268,1.759256,0.248656,1
-30.681685,-6.60275,10.443481,-17.282748,-15.440227,10.985544,9.460942,-0.938228,-9.292834,6.921128,4.943429,-2.174741,-5.588631,3.525648,2.502696,-0.254324,-25.82834,-0.093729,9.381966,-11.322466,-12.494925,4.977489,6.740054,-1.197029,-9.8289,3.200275,3.845118,-1.307052,-4.827186,4.267589,2.650636,-0.153575,-27.129327,-9.592531,7.254058,-14.692453,-12.131794,2.6761,5.941625,-2.880052,-6.104791,4.991387,3.298153,-0.778339,-6.098494,2.521004,2.135015,-0.283454,-16.020174,-0.523123,6.214882,-5.370274,-13.187277,5.182197,6.955317,-1.602588,-4.837159,5.191895,2.826104,-0.97633,-4.314711,3.029139,1.88296,-0.116057,-250.679819,431.177233,265.727315,188.963331,-184.111893,40.221699,84.819828,-42.062372,-59.171331,9.050677,25.003166,-17.197746,-46.545087,20.202601,16.224708,-5.5134,-25.311365,-12.796125,5.015736,-17.32127,-7.425329,3.312999,4.209501,-0.238958,-2.712827,3.007491,2.219577,-0.02801,-3.051771,2.525681,1.44528,-0.064452,1
-11.57762,5.964373,6.69998,-4.650566,-2.638589,8.359472,3.917663,2.506294,-9.653336,2.467811,4.145572,-1.803985,-4.55613,5.322281,2.637794,-0.004551,-10.096816,8.665293,7.278485,1.378746,-4.640964,15.391557,7.47115,3.499591,-8.749843,6.981694,5.061624,-1.071168,-3.051163,5.822829,2.319243,0.096296,-14.297869,1.254174,5.713593,-4.972627,-8.593032,15.601084,8.57076,3.512774,-5.188069,3.206068,2.834684,-0.327661,-5.593498,3.788722,2.481065,0.121776,-15.1135,11.361109,9.910219,-1.208469,-10.49843,12.657557,8.903748,-0.464148,-14.538888,3.574436,5.50923,-1.772277,-5.04914,3.549344,2.01502,-0.048611,-573.34505,343.086681,373.918686,-177.735959,-50.918433,108.480551,64.781143,54.479345,-36.880008,66.629872,35.334249,14.211137,-11.467878,29.687099,11.854182,6.648118,-19.633011,-7.74698,4.522253,-13.16886,-2.735298,4.960894,3.158527,-0.38751,-5.396359,1.952797,2.367134,-1.311243,-5.072832,3.787273,2.110596,-0.092084,1
