@relation Sub1_B_64_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute class {0,1}

@data
-9.945821000000000467e+00,-9.848630000000000440e-01,-1.614725599999999872e+01,-1.529449000000000058e+00,-6.176178000000000168e+00,4.140363999999999933e+00,1.781624800000000164e+01,1.480303499999999950e+01,-6.144563999999999915e+00,-4.192170000000000063e-01,2.484370999999999885e+00,-3.212235999999999869e+00,5.358081999999999567e+00,2.492491999999999930e+00,-4.314059999999999562e+00,3.802664000000000044e+00,2.043222999999999789e+00,1.156599999999999989e-02,-6.661806999999999590e+00,7.064693000000000112e+00,5.642840999999999774e+00,5.316506999999999650e+00,3.400466000000000211e+00,-7.108857999999999677e+00,2.560429000000000066e+00,-4.232500000000000151e-01,2.222890299999999897e+01,9.090842999999999563e+00,7.039314000000000071e+00,5.009017000000000053e+00,-1.322927499999999945e+01,-8.230168000000000816e+00,7.972712999999999717e+00,3.107749000000000095e+00,4.108632000000000062e+00,3.218983000000000150e+00,0
-2.622600500000000068e+01,-9.541097999999999857e+00,-1.830030700000000010e+01,-9.302234999999999587e+00,-6.162119999999999820e+00,5.160963999999999885e+00,1.783243999999999829e+01,9.376870000000000260e+00,4.856187000000000253e+00,-5.119809000000000054e+00,6.318912000000000084e+00,-7.997174000000000227e+00,6.835580000000000211e+00,3.863283000000000023e+00,-4.052561999999999998e+00,3.789930000000000021e+00,2.089462999999999848e+00,-3.620199999999999807e-02,-7.998228000000000115e+00,6.238805000000000156e+00,1.379534999999999956e+00,6.018361999999999767e+00,6.160618999999999623e+00,-4.816829000000000249e+00,2.051515999999999895e+00,-2.403076099999999826e+01,1.611623399999999862e+01,1.425876599999999961e+01,-4.384267000000000358e+00,6.305138999999999605e+00,-1.522156400000000076e+01,-1.493449400000000082e+01,1.660101200000000077e+01,-1.262189999999999923e+00,4.834564999999999557e+00,1.669084999999999930e+00,0
-1.923776700000000162e+01,-4.647488000000000063e+00,-1.525732499999999980e+01,-5.909370000000000012e+00,-3.236486000000000196e+00,8.052412000000000347e+00,4.992035999999999696e+00,1.989468000000000014e+00,2.893314999999999859e+00,-1.305438000000000098e+00,1.519983299999999993e+01,-4.130175000000000374e+00,7.337195000000000356e+00,3.684654000000000096e+00,-6.322665999999999897e+00,5.080105999999999788e+00,2.815460999999999991e+00,-2.965500000000000080e-02,-5.077799999999999869e+00,-1.837264000000000008e+00,-5.957516000000000034e+00,5.191012999999999877e+00,5.802823000000000064e+00,-4.562911999999999857e+00,2.605360999999999816e+00,-8.139238999999999891e+00,-8.366409999999999680e-01,2.666541000000000050e+00,-4.320511999999999908e+00,5.088758000000000337e+00,-1.332067400000000035e+01,-1.633080500000000157e+01,-3.074974999999999792e+00,-8.451862000000000208e+00,4.893171999999999855e+00,3.536401000000000128e+00,0
1.197178000000000075e+00,7.698583000000000176e+00,-5.762299999999999756e+00,-4.544770000000000199e-01,-6.393958999999999726e+00,1.001079700000000017e+01,3.199654999999999916e+01,5.736367000000000438e+00,2.325920999999999950e+01,-6.718269000000000268e+00,6.865105999999999931e+00,-5.320645999999999987e+00,6.868022999999999989e+00,3.674583000000000155e+00,-3.015003000000000100e+00,3.555285000000000029e+00,1.531338000000000088e+00,-4.720599999999999796e-02,4.124709000000000181e+00,9.888241999999999976e+00,1.967618000000000089e+00,4.724118999999999957e+00,2.010367000000000015e+00,-4.571899000000000157e+00,2.155851000000000184e+00,-2.342929999999999957e+00,1.518072800000000022e+01,6.538648000000000238e+00,7.538319999999999688e+00,7.612375000000000114e+00,-9.813489000000000573e+00,-5.839430000000000121e+00,1.358232399999999984e+01,5.690101000000000298e+00,9.105261000000000493e+00,3.900336999999999943e+00,0
1.435844900000000024e+01,2.755643999999999849e+01,2.046087699999999998e+01,2.848730000000000118e+01,-7.006255999999999595e+00,9.147510000000000474e+00,2.105481500000000139e+01,1.867075999999999958e+00,1.891826599999999914e+01,-8.970046999999999215e+00,5.244309999999999583e+00,-5.131893999999999956e+00,6.329106999999999594e+00,3.341559000000000168e+00,-6.068037999999999599e+00,4.821721000000000146e+00,2.404101999999999961e+00,-2.735000000000000018e-03,6.883111999999999675e+00,1.594055999999999962e+01,4.648800999999999739e+00,4.708121000000000222e+00,2.555209000000000064e+00,-5.836896000000000306e+00,2.193436000000000163e+00,-8.562922000000000367e+00,1.329876699999999978e+01,8.679541999999999646e+00,4.803259999999999863e+00,1.073546400000000034e+01,-9.863217999999999819e+00,3.037644999999999929e+00,1.548299399999999970e+01,1.142011800000000044e+01,4.548745000000000260e+00,3.064947000000000088e+00,0
1.564525399999999955e+01,2.670942499999999953e+01,1.238181200000000004e+01,1.817475500000000110e+01,-1.676331999999999933e+00,2.724852999999999970e+00,5.137237600000000270e+01,1.118650599999999962e+01,4.017996399999999824e+01,-1.223388500000000079e+01,1.180239300000000036e+01,-5.690794999999999604e+00,5.721942000000000306e+00,3.798601000000000116e+00,-3.768658999999999981e+00,4.587058999999999997e+00,1.990045999999999982e+00,5.947899999999999715e-02,2.419165800000000033e+01,8.390257000000000076e+00,3.664083999999999897e+00,4.759863000000000177e+00,2.958277999999999963e+00,-5.058036999999999672e+00,2.775103999999999793e+00,2.425858999999999988e+00,1.933899900000000116e+01,7.665154000000000245e+00,1.062687599999999932e+01,7.440856000000000137e+00,-8.925131999999999621e+00,-7.835155000000000314e+00,1.487515400000000021e+01,3.541100000000000136e+00,3.158084999999999809e+00,2.632887999999999895e+00,0
-1.299601499999999987e+01,-4.951457999999999693e+00,1.471609999999999863e-01,1.205241499999999988e+01,-7.223329999999999806e+00,5.907243000000000244e+00,3.252960399999999908e+01,6.636120000000000019e+00,2.241490500000000097e+01,-1.691710999999999965e+00,3.052204000000000139e+00,-4.772472999999999743e+00,5.576531000000000127e+00,2.571110000000000007e+00,-3.540004000000000151e+00,4.069226999999999705e+00,2.137011999999999912e+00,-3.991499999999999909e-02,2.049529999999999852e+00,9.708510999999999669e+00,3.181929999999999925e+00,7.218372999999999706e+00,4.250767999999999880e+00,-4.049234000000000222e+00,2.269413999999999820e+00,6.083231999999999751e+00,2.763164899999999946e+01,8.475811000000000206e+00,1.491196399999999933e+01,6.886783999999999573e+00,-6.764807000000000237e+00,-6.226466000000000278e+00,1.332610000000000028e+01,1.267400000000000082e+00,3.948443999999999843e+00,2.316303000000000001e+00,0
-3.314790000000000236e-01,2.766626000000000030e+00,-2.024590399999999946e+01,-3.026550000000000074e-01,-4.185186999999999991e+00,3.198068999999999829e+00,3.702369499999999647e+01,2.383867000000000047e+01,-2.614440000000000097e+00,-2.645599999999999952e+00,7.098639000000000365e+00,-6.449508999999999936e+00,9.091418000000000887e+00,4.214369999999999727e+00,-4.316899000000000264e+00,4.051810999999999829e+00,1.926350999999999924e+00,2.751959999999999962e-01,-5.096377100000000127e+01,2.029668900000000065e+01,7.903824000000000183e+00,4.982224999999999682e+00,3.769003999999999799e+00,-5.150876000000000232e+00,2.054336999999999858e+00,-1.081755000000000067e+01,1.379254000000000069e+01,1.089835199999999915e+01,5.516590000000000105e-01,7.838091999999999615e+00,-6.734875999999999863e+00,-7.481238000000000277e+00,9.973955000000000126e+00,1.130533999999999928e+00,5.427609999999999602e+00,2.365714999999999790e+00,0
-3.689698599999999828e+01,-2.364823000000000164e+01,-3.909017099999999800e+01,-2.920594200000000029e+01,-8.807838000000000278e+00,1.284854799999999919e+01,-1.724048300000000111e+01,1.392284000000000077e+01,-3.283776000000000295e+01,1.247624000000000066e+00,7.553447000000000244e+00,-7.783750999999999642e+00,7.628381000000000078e+00,3.873834000000000000e+00,-5.107122999999999635e+00,5.302546000000000426e+00,1.964115000000000055e+00,-6.903000000000000282e-03,-1.171687160000000034e+02,1.367001400000000011e+01,6.442757000000000289e+00,5.125573000000000157e+00,3.823154000000000163e+00,-6.150458000000000425e+00,2.388930000000000220e+00,-4.176806400000000252e+01,-2.707256000000000107e+00,1.554629500000000064e+01,-2.923492200000000096e+01,9.935845999999999734e+00,-6.161954999999999849e+00,-2.268055700000000030e+01,5.047710999999999615e+00,-1.148883799999999944e+01,4.421904999999999752e+00,3.513876000000000221e+00,0
-3.375903499999999724e+01,-2.397873299999999830e+01,-3.710004200000000196e+01,-2.277486199999999883e+01,-3.541344000000000047e+00,5.187325000000000408e+00,-3.960761399999999810e+01,9.441172999999999149e+00,-5.529659900000000050e+01,-8.765876999999999697e+00,1.577462200000000081e+01,-7.090438999999999936e+00,8.773834000000000799e+00,3.854105000000000114e+00,-4.840086000000000332e+00,9.325716999999999146e+00,2.925663000000000125e+00,7.254299999999999637e-02,-6.503948400000000163e+01,-1.399871000000000087e+00,-6.101920999999999928e+00,4.097261999999999738e+00,4.436593000000000231e+00,-3.835633000000000070e+00,2.319128000000000078e+00,-3.160279299999999836e+01,-3.695467999999999975e+00,1.172272500000000051e+01,-2.060308699999999860e+01,4.813386000000000386e+00,-7.775508000000000308e+00,-2.621880900000000025e+01,-8.573318999999999690e+00,-1.643743299999999863e+01,2.692988000000000159e+00,3.403357999999999883e+00,0
