@relation dwt_64_ert

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
3,82.422,116.431,97.38175,-131.98225,-98.36425,-113.629063,-320.19125,-269.67775,-297.62575,57.350249,27.291623,11.001066,-302.392,-229.053,-272.753875,354.21925,427.61375,391.887563,36.897102,0
4,76.70875,96.0695,84.930313,-113.86725,-91.60175,-101.172,-318.40925,-289.892,-304.065563,63.633953,26.113886,10.772006,-285.1815,-259.6415,-272.106875,342.381,401.83375,376.343125,36.936629,0
5,73.38875,122.4365,101.910438,-138.62275,-88.72125,-117.437813,-312.93625,-265.356,-297.11225,68.709212,27.363329,10.981919,-288.74625,-241.7985,-273.042313,360.32325,414.52775,375.220438,37.080774,0
6,60.108,115.4055,84.29575,-128.44275,-75.51275,-98.91375,-302.929,-238.5985,-277.782875,73.022917,27.496637,11.768829,-278.58725,-199.87775,-246.746375,376.97975,457.32125,407.152313,34.829697,0
7,65.38075,105.591,79.23575,-121.19125,-80.2735,-93.823188,-284.8135,-224.878,-264.318563,69.536527,25.999916,11.496545,-253.53975,-200.3655,-235.2415,371.92525,453.39725,412.495188,35.181463,0
8,73.73025,112.2315,88.207938,-127.58825,-87.7685,-102.80775,-262.255,-209.741,-239.898375,65.738657,25.866764,11.683295,-225.487,-160.3515,-192.816063,397.51025,485.45275,436.993625,31.024035,0
9,109.6195,145.82525,126.64825,-161.9625,-125.26875,-142.236313,-272.11825,-228.14975,-252.575625,62.874167,26.893419,11.272576,-240.747,-208.3255,-228.973375,370.58275,431.4725,394.503125,34.95925,0
10,63.501,108.20325,91.504,-123.51125,-78.5155,-107.29375,-256.6405,-199.829,-231.378125,57.142006,28.205782,11.248859,-260.2545,-201.2455,-231.518875,377.19625,450.46225,412.987875,34.528102,0
11,84.375,102.4905,95.0745,-118.408,-101.3915,-111.016813,-237.4755,-172.19225,-208.42275,62.49339,26.182457,10.762751,-264.8445,-198.12025,-237.420813,373.85375,436.74475,416.833125,34.759189,0
12,66.602,109.009,90.325938,-122.754,-82.544,-105.291625,-204.9075,-160.669,-183.081,65.808307,24.994405,10.173968,-253.85725,-182.8125,-224.04775,386.107,464.7455,420.928063,35.717535,0
13,47.778,102.93025,77.228,-118.92075,-63.74525,-93.103063,-227.07525,-155.542,-181.768875,64.80669,26.254408,11.255692,-250.02425,-195.8495,-219.946313,371.631,459.52525,412.677813,33.680763,0
14,76.61125,119.60475,90.686063,-135.9615,-91.626,-106.762625,-189.6975,-132.397,-167.773438,72.230251,26.776275,11.732628,-225.46375,-171.533,-195.824813,394.60325,452.07275,423.272,34.791867,0
15,82.691,160.376,119.885438,-178.223,-100.049,-137.1095,-210.22975,-169.99475,-192.55975,64.116554,26.079027,12.180394,-224.46425,-181.46975,-205.920813,358.93425,408.03025,384.4955,34.929331,0
16,90.1125,183.252,133.331313,-199.70725,-105.42,-149.023563,-213.648,-159.27775,-183.245938,71.055746,25.84401,11.570656,-197.998,-162.28025,-174.877875,390.549,429.101,413.725813,33.905285,0
17,92.11425,113.2565,99.951125,-129.46775,-108.96,-117.102,-207.95925,-151.5375,-189.843625,61.215648,28.004949,11.794792,-195.28775,-140.259,-169.220063,397.02125,484.132,434.541063,33.776773,0
18,48.92625,109.668,85.125938,-125.7325,-64.6245,-101.025625,-259.47325,-194.67775,-231.445438,61.975081,28.39873,11.173376,-211.79175,-138.7945,-184.869625,362.1595,437.427,390.9475,38.829079,0
19,49.36475,108.76425,84.313875,-124.43875,-66.9685,-100.403,-336.597,-225.87775,-278.008063,67.258936,26.669389,11.160999,-261.231,-124.19425,-199.798563,305.246,458.32475,377.459813,34.606077,0
20,63.696,132.4465,91.748063,-151.611,-78.22225,-109.026938,-295.23825,-256.934,-276.244688,76.822909,26.923217,11.199135,-157.812,-142.065,-147.772063,384.88875,428.711,399.409,37.732255,0
21,71.9245,114.96575,96.630938,-129.5415,-89.0625,-111.901875,-293.55475,-242.04125,-264.995875,73.680173,27.792422,12.349112,-143.96975,-75.14625,-102.428938,367.3605,441.5555,405.243875,36.11688,0
22,101.025,131.8115,115.106063,-148.55925,-117.43175,-131.408563,-297.97275,-239.45325,-266.668375,72.504608,28.301728,12.280856,-84.59475,-23.804,-50.018438,367.53075,452.19875,415.613875,36.563213,0
23,99.70675,179.639,123.03475,-198.14475,-118.18825,-141.143813,-289.33075,-276.85575,-283.740375,76.302832,27.197456,12.280727,-41.5035,2.3675,-28.222688,419.63125,434.59425,426.830625,35.725671,0
24,88.11025,143.04225,111.27325,-163.33,-106.44525,-130.096375,-271.313,-212.0365,-241.6925,63.769364,27.862592,11.78134,-5.15175,76.24475,38.226125,475.7885,513.959,498.029813,38.055314,0
25,93.579,128.41875,109.619375,-147.9495,-109.03375,-126.873813,-262.1825,-195.11725,-234.246938,62.218326,28.185111,11.806657,37.54875,80.88375,59.027,447.75825,534.495,489.081438,36.30816,0
26,90.4785,140.8205,110.913063,-158.3005,-108.37375,-128.7595,-242.8955,-175.95225,-218.188438,67.464704,29.154715,11.441635,75.562,159.30175,100.329813,457.22975,562.2805,492.607875,35.183677,0
27,75.9275,138.50125,102.178938,-157.10425,-92.87125,-119.799938,-234.64375,-158.66675,-205.163813,67.085342,29.682497,11.837166,108.91175,197.3635,139.703625,474.83025,517.5055,492.090875,34.49813,0
28,117.11425,131.4455,122.552375,-147.04575,-133.17825,-139.190625,-235.00975,-189.9665,-215.374688,71.573348,28.900957,11.261356,89.9165,157.64175,126.818688,404.0055,448.6555,427.4125,34.148592,0
29,113.28125,152.97825,131.750563,-168.84675,-131.543,-148.486063,-150.415,-96.70425,-118.261625,69.29505,29.183669,12.977062,204.49325,255.66325,232.226625,472.31925,538.32975,510.511125,37.891581,0
30,102.0995,140.112,120.3855,-155.32275,-119.4825,-137.115688,-132.07975,-79.34575,-109.405438,73.23116,29.332137,12.727949,214.233,294.45625,251.00075,443.67575,531.347,484.59525,38.681147,0
31,101.56225,133.49625,115.362625,-152.393,-118.3105,-132.415813,-131.8365,-69.84825,-100.836063,66.808509,27.390415,12.799162,196.11775,281.51725,241.625625,425.614,496.5105,457.868313,38.260726,0
32,107.4955,141.23525,122.522125,-160.81575,-121.60625,-139.044063,-83.5935,-50.5615,-63.104375,62.355504,28.629453,11.802328,216.11325,269.26175,235.742313,458.176,519.9185,486.271375,37.524756,0
33,107.1535,138.72075,121.368375,-155.957,-124.12125,-138.87325,-104.90725,-34.302,-60.614188,64.979578,28.969854,12.026977,174.5845,211.4255,188.207938,437.871,515.91675,469.6295,40.22838,0
34,98.1445,128.19825,114.269813,-145.62975,-113.69675,-130.609313,-68.77475,-10.64475,-40.1125,68.397025,30.131448,11.386951,156.27425,202.783,179.223688,459.93575,523.359,483.591375,36.199466,0
35,108.4955,160.0585,126.025313,-174.194,-125.07325,-140.728688,-59.42375,-2.2705,-26.360938,77.650578,28.109493,11.783028,134.4725,208.30075,165.789813,446.24075,534.8365,497.179563,38.684652,0
36,129.4925,149.0725,137.286375,-165.161,-145.84975,-153.192,-55.73725,1.17225,-33.056563,74.991856,28.070598,11.849304,46.28925,133.423,92.193625,456.76475,535.131,490.178688,37.761802,0
37,163.33075,172.28975,169.336,-191.01525,-180.835,-187.573188,-79.10075,-19.09175,-49.145125,70.469201,28.297273,13.064678,-42.5535,48.94975,4.412687,427.2735,506.83925,472.061188,37.248842,0
38,181.07925,214.3795,195.9715,-230.4685,-198.071,-212.90275,-115.186,-49.73175,-76.086688,72.195249,29.439997,12.161891,-118.55475,-43.40775,-73.925813,377.2695,482.10475,445.970188,37.930024,0
39,178.83325,226.05,196.893375,-243.79925,-192.72475,-212.298813,-107.49525,-74.5605,-86.602875,68.017308,27.737046,12.37013,-175.95225,-109.00875,-135.803188,386.086,450.997,427.373438,31.45644,0
40,186.4745,199.072,193.383813,-216.01525,-202.832,-209.6615,-109.6195,-35.9615,-71.124063,59.731078,27.653775,11.526026,-198.852,-111.71825,-173.235813,387.35175,463.0095,428.099813,37.649513,0
41,194.72675,234.47275,219.714625,-249.90225,-211.20625,-235.949875,-119.3115,-45.28825,-89.373875,63.287118,27.993734,11.500528,-265.57725,-202.8315,-231.90325,395.507,468.53175,431.616375,34.990581,0
42,192.6025,230.54175,218.328688,-247.97375,-209.131,-234.967,-109.8385,-39.77025,-71.697813,72.299194,28.770086,11.723273,-272.169,-187.25625,-243.628563,418.99475,537.395,465.519938,38.098063,0
43,208.47125,246.875,225.012063,-262.5975,-225.879,-241.381813,-105.32225,-40.0145,-69.842375,72.782147,28.117943,12.496406,-277.73225,-212.52475,-241.894125,461.8175,518.7995,500.707625,36.107804,0
44,201.29375,212.622,207.104563,-229.1505,-219.946,-224.426188,-120.87375,-64.50175,-92.419313,73.887002,26.951548,12.00915,-281.41925,-239.15925,-255.376625,445.26675,537.847,506.068313,31.740911,0
45,195.14175,223.9745,208.74025,-242.89525,-210.6445,-226.086313,-131.00625,-60.01025,-102.490375,68.431319,27.232936,12.462698,-252.3675,-202.4415,-227.758563,475.659,553.7105,513.666438,36.277712,0
46,160.791,207.83725,182.4465,-223.2905,-176.148,-198.242125,-126.58625,-73.8775,-99.24925,69.778358,30.265969,12.433872,-234.39975,-139.18475,-183.600125,496.487,602.955,542.2865,37.964476,0
0,159.8875,192.066,178.338688,-210.303,-178.9795,-196.942,-765.895,-706.7375,-727.563125,65.488695,26.671883,10.84862,271.48475,345.53475,312.439188,433.694,533.575,480.323625,34.604085,0
1,149.4385,180.59075,167.67575,-198.21775,-167.9685,-185.748125,-770.0925,-718.7475,-740.813125,71.01827,26.045512,10.630111,253.09975,306.3475,278.240438,430.249,488.405,458.043625,35.894034,0
2,164.89225,189.9415,174.987625,-206.20125,-182.7395,-192.535563,-777.5375,-712.2775,-735.32625,63.254237,26.536817,10.887646,234.69225,294.50825,262.671563,443.45625,497.62525,469.503875,35.935074,0
3,175.63475,191.72375,183.740313,-208.39875,-191.8215,-200.250313,-763.06,-700.3175,-730.029375,66.605923,26.873725,11.828221,194.385,260.0345,225.207875,404.63525,488.9675,451.091375,37.093378,0
4,182.3245,207.10475,193.542438,-226.02525,-199.17,-210.74825,-730.3975,-703.4625,-718.315625,68.536325,25.908856,11.940556,184.49725,225.464,205.627563,392.4565,457.8155,425.649938,36.811874,0
5,189.38,219.36025,206.457375,-235.10775,-205.73725,-223.400875,-731.1575,-697.415,-711.93375,68.70603,26.407541,11.946893,189.72175,247.97325,216.4425,401.68425,467.577,439.904188,31.930495,0
6,197.436,232.37275,211.96275,-249.707,-214.99,-228.955063,-732.8375,-670.6525,-703.191875,60.941998,28.219549,11.387194,201.9775,276.65975,242.718625,400.463,477.316,443.663,34.845692,0
7,205.3955,239.79525,227.746563,-258.30125,-222.65625,-245.867875,-704,-642.7525,-671.689375,58.039325,28.519606,10.913197,269.84675,316.91925,294.16975,421.2895,484.3265,450.353938,35.991865,0
8,206.0545,240.21,225.238,-256.3235,-224.951,-242.49275,-719.895,-656.7375,-682.575,68.568145,27.876241,11.518904,279.59025,326.36625,310.772,421.70275,500.34275,469.727813,36.667714,0
9,207.27525,249.7315,226.208375,-268.55525,-225.3175,-244.183563,-754.5375,-685.1525,-717.149375,72.089536,26.925463,11.198853,268.4555,343.06375,310.997,395.77725,483.5215,455.169125,32.745954,0
10,237.45125,256.958,248.230063,-274.3165,-255.51775,-265.716563,-742.46,-690.1075,-723.284375,72.991097,26.900072,11.841716,328.51625,358.592,339.788438,430.0785,491.94225,461.034938,37.531941,0
11,234.52125,267.9195,254.241688,-284.082,-254.00325,-273.119938,-791.675,-734.595,-758.253125,73.270405,29.288629,12.284595,273.78075,343.677,315.814375,409.27475,505.837,470.580063,37.146068,0
12,240.5275,281.104,252.404938,-299.829,-257.37325,-269.84875,-842.2575,-779.9775,-809.27,66.153375,27.500988,11.941985,146.6555,252.221,200.976438,421.39025,457.29825,439.904938,38.395284,0
13,244.2625,272.949,264.153875,-292.9935,-261.40125,-282.055625,-845.015,-803.785,-833.41,68.670675,27.125733,11.945774,83.008,153.97925,112.402313,423.074,480.64275,460.622313,40.313827,0
14,264.40425,281.0065,273.138563,-299.02325,-285.5465,-292.114438,-894.97,-839.9,-875.25625,59.80002,27.427118,11.602772,-16.919,48.63275,15.508938,420.31075,501.83575,449.426313,36.18748,0
15,246.77725,289.575,273.413,-305.61525,-263.037,-290.673813,-916.825,-852.125,-889.180625,59.764665,29.229707,11.088216,-114.5265,-31.763,-66.528438,418.5535,504.815,457.130813,37.234661,0
16,245.01925,286.54825,269.311563,-304.8095,-264.3065,-287.493875,-950.9275,-891.33,-910.96125,69.43435,27.664662,11.230872,-189.23325,-118.897,-142.608813,404.78325,462.42525,447.361375,36.017992,0
17,261.49925,301.88,279.968563,-320.948,-281.226,-298.797563,-945.975,-898.315,-924.65875,73.302224,27.615959,11.12978,-254.32225,-195.89825,-212.21325,400.9235,463.54975,429.496875,36.135677,0
18,239.16025,279.61375,262.310688,-299.2435,-258.3495,-281.43925,-982.125,-919.3125,-938.7875,70.466726,29.118866,12.315606,-316.4035,-247.31375,-276.897563,375.12375,456.3955,423.77975,36.037358,0
19,249.4145,298.92575,275.079688,-317.30925,-266.846,-293.432375,-970.5825,-892.48,-931.31125,71.537993,28.866468,12.199337,-345.3655,-267.77125,-301.37975,412.447,489.874,455.450125,38.753393,0
20,259.57025,300.0245,276.001,-315.91775,-280.249,-293.829563,-955.765,-917.435,-944.533125,70.190955,27.337683,12.794081,-340.7015,-283.03025,-324.036438,414.5505,480.563,442.962188,33.322513,0
21,267.11425,293.652,279.284688,-311.79175,-283.008,-296.374813,-974.1725,-921.9025,-946.961875,65.42859,28.335291,11.375474,-362.03825,-298.58425,-330.434063,419.92025,489.869,448.967813,37.744213,0
22,254.4925,288.4525,269.860938,-303.90675,-272.2905,-286.963313,-982.76,-924.51,-957.815,59.145947,27.409131,11.284168,-355.91075,-303.85675,-338.311875,415.94225,495.89825,448.107125,37.810486,0
23,260.181,299.58475,278.015125,-317.48,-277.70975,-294.634563,-977.7625,-919.14,-947.93875,66.121555,28.624455,11.257583,-380.225,-316.846,-346.99675,412.9385,485.25225,446.983688,34.375916,0
24,264.16,300.488,277.978438,-316.504,-279.02825,-294.665563,-965.4775,-921.995,-943.656875,70.572792,27.658673,11.704544,-344.89675,-300.51375,-333.5335,450.95125,498.6565,468.35325,35.217052,0
25,254.71175,287.52425,273.077375,-302.02675,-269.36,-288.763625,-961.5,-934.35,-950.89125,73.093628,27.281731,11.200138,-357.25225,-322.6575,-338.160375,427.73425,496.6055,457.824,35.765868,0
26,259.839,310.49775,282.958875,-329.4445,-276.75775,-300.451938,-977.2475,-921.705,-947.9,70.120244,27.22446,11.841022,-354.19975,-308.49675,-323.96275,435.471,480.372,454.218375,37.343456,0
27,261.206,288.7695,276.128938,-302.6365,-275.85425,-292.523188,-977.2225,-932.9575,-954.789375,67.984781,28.511174,12.091456,-357.153,-286.13175,-322.588875,415.52775,468.06775,440.508313,37.215326,0
28,228.58925,306.90875,262.811188,-323.78025,-243.89675,-278.88225,-993.625,-944.0175,-968.76,61.765777,27.270937,12.368904,-362.83875,-241.82125,-314.726375,347.507,442.5795,390.72825,35.5788,0
29,245.2395,260.91325,255.249188,-281.56725,-259.54625,-271.911813,-1011.4775,-953.25,-972.43125,64.944222,27.304257,11.229519,-313.40375,-288.11025,-300.903313,337.30375,407.9355,378.497,36.492986,0
30,236.8895,260.64475,248.504625,-276.6115,-251.51325,-264.514063,-1016.5225,-954.4925,-986.283125,61.3203,28.40948,11.255237,-307.35,-257.1535,-287.268313,326.04925,390.2325,364.92775,36.581721,0
31,248.43725,284.1065,263.55575,-299.14575,-263.257,-279.400688,-984.18,-947.075,-967.55875,65.669007,28.842077,11.191011,-258.373,-183.81375,-230.554313,317.62825,405.2495,345.8865,37.057292,0
32,245.38575,278.29575,265.643188,-292.92,-261.15725,-281.26225,-983.815,-926.02,-953.7275,68.63532,27.669218,12.112809,-220.752,-134.546,-178.106875,284.96075,366.114,335.418375,35.862136,0
33,225.83025,253.467,242.444063,-268.92075,-241.6505,-258.905313,-988.43,-947.0925,-968.103125,73.577996,26.351443,11.73277,-168.4085,-133.34975,-150.293125,308.64225,346.192,321.619938,33.294332,0
34,212.085,262.378,235.449313,-278.7845,-228.66175,-250.891125,-986.18,-936.985,-958.165625,72.439554,27.564836,12.453633,-173.95,-112.52425,-138.366625,271.1155,336.93975,303.723688,36.652471,0
35,215.50325,264.6235,242.993188,-281.68875,-230.41975,-259.1245,-970.265,-907.74,-942.95,67.878715,29.623229,11.969394,-155.2485,-99.43825,-124.658,251.9055,309.88875,272.254125,37.532153,0
36,220.0685,251.85525,236.437813,-268.872,-237.5735,-253.759688,-970.485,-907.1775,-944.923125,61.079884,27.039089,12.156607,-141.4545,-104.077,-128.71075,228.98175,289.21125,257.704125,37.917757,0
37,233.54525,262.329,247.290125,-279.37025,-248.389,-263.25075,-923.705,-911.5525,-917.098125,62.667338,27.343732,10.960936,-113.01275,-83.32525,-98.35825,259.76575,324.92725,286.364188,35.528558,0
38,226.978,251.782,240.094063,-266.5285,-243.31075,-256.128,-944.36,-898.66,-919.13,63.356768,27.560994,11.309475,-138.8185,-59.69275,-104.882875,231.44575,363.085,289.605875,39.205679,0
39,223.56025,254.1505,238.947,-269.3845,-238.23275,-254.205375,-933.13,-873.875,-910.75375,66.94887,28.925774,10.487285,-133.96,-74.8295,-101.239,237.1815,307.47025,278.27775,37.90441,0
40,220.7765,244.43375,231.066938,-260.57075,-237.695,-247.112938,-916.305,-863.4525,-892.180625,69.922254,27.388627,11.832234,-131.44525,-99.3655,-119.519,265.2585,300.12125,278.404938,36.7329,0
41,214.5025,246.4115,232.190188,-264.99025,-230.0775,-248.736688,-937.1375,-869.895,-900.48875,71.820836,26.024559,11.734191,-176.51375,-82.6905,-134.051688,199.5865,321.488,254.04175,35.825396,0
42,268.506,299.07275,290.936563,-317.4565,-283.032,-306.890438,-923.8475,-894.04,-902.225625,67.362528,27.102447,12.307663,-199.46325,-127.41725,-152.111938,144.50675,248.9255,201.599125,36.935404,0
43,279.6875,320.28825,296.636938,-337.0115,-298.63175,-313.74425,-905.0525,-848.9025,-880.5,72.60926,28.631401,12.377555,-165.6735,-100.4885,-140.17325,173.0715,251.7575,209.44775,34.608705,0
44,275.3175,303.39325,290.31375,-319.33525,-292.4315,-307.68975,-916.42,-853.32,-885.911875,63.936595,27.212292,11.963484,-163.55,-96.85075,-135.632438,139.6975,226.48875,180.034938,34.892791,0
45,293.26125,358.8125,325.988938,-375.608,-309.6675,-342.00375,-899.365,-834.0575,-865.808125,58.901995,26.941581,11.302327,-154.175,-70.1165,-109.557938,130.68825,199.07075,166.814938,39.137419,0
46,304.71275,347.7075,330.463875,-364.8915,-322.608,-346.923813,-870.4625,-826,-847.0825,66.842804,27.372189,11.207087,-108.91075,-54.00425,-73.687875,150.48825,214.59975,186.847125,37.160633,0
0,157.2265,217.60275,186.047313,-231.861,-170.72775,-199.634,119.18925,195.75175,155.523688,68.500969,27.617981,11.443172,90.3565,157.00625,129.6935,307.32625,398.0715,341.210938,35.615138,0
1,160.2045,208.42275,177.185,-223.21775,-174.41425,-191.687125,154.07725,212.42675,181.127813,57.175947,25.92056,11.425222,97.14375,169.8975,130.444313,324.414,390.99275,361.8295,34.028227,0
2,172.38725,193.7255,181.896938,-210.498,-187.96375,-197.302313,244.702,287.89025,272.772563,54.968006,25.291129,10.268695,178.345,222.24125,201.550375,393.01625,457.42,427.909875,34.988924,0
3,160.547,181.93375,169.482438,-195.82475,-176.00075,-184.2955,266.212,321.26525,293.359188,64.113725,26.94992,11.16305,163.52525,245.82425,209.795688,386.47175,439.4745,413.053188,35.131914,0
4,141.5775,184.98575,166.015625,-199.0965,-157.1045,-180.383313,296.38525,350.80575,318.951438,68.227319,28.164429,11.386228,223.07,276.73375,242.094875,351.44225,449.0955,411.931938,36.002114,0
5,152.56325,213.64775,172.6685,-228.41775,-167.21225,-186.999375,319.8005,338.20625,328.772125,70.228078,25.909017,11.671995,253.1485,259.155,256.03025,374.36475,407.791,387.054688,34.163938,0
6,177.19775,202.8565,190.381,-219.0675,-192.6755,-205.834938,262.25625,318.45875,279.78575,69.397934,25.80132,11.310101,207.8615,251.6845,226.123063,259.081,344.97075,295.287313,34.893552,0
7,185.18075,216.528,198.108125,-232.15325,-201.48925,-214.807063,272.78075,318.4085,294.7085,64.42662,27.511883,12.35981,239.184,273.31625,251.849625,240.2595,293.33275,267.016188,36.662947,0
8,176.587,214.59925,195.477188,-231.0795,-197.1435,-213.196,278.8815,355.9105,305.012,69.29505,28.008664,11.269951,224.56075,322.89975,272.284313,194.7265,263.84525,240.882313,37.795245,0
9,163.72075,180.41975,171.844563,-195.16625,-180.07875,-186.932688,269.336,351.16975,314.33625,58.591221,25.206074,10.844921,278.8575,325.7805,293.866125,186.28,258.3015,222.931,34.320244,0
10,170.264,196.6795,185.552938,-210.7665,-185.05825,-200.036563,314.69875,341.50625,324.95375,67.053522,26.542678,10.618597,280.0535,329.2015,306.97625,196.24075,253.246,226.794188,34.88424,0
11,172.58275,204.053,187.792938,-218.3105,-186.718,-202.465563,283.4955,331.786,309.276813,68.638148,26.659635,11.620758,253.7835,311.0605,281.317313,146.04475,222.1435,177.6125,36.332773,0
12,177.002,206.616,188.696,-220.9225,-191.6505,-203.0515,246.36075,326.71,285.583625,61.525007,26.795209,11.657808,218.3345,295.3615,258.410563,126.70875,195.14175,165.069625,36.197955,0
13,210.54725,247.534,234.991563,-260.03425,-227.5145,-249.60925,244.8475,289.25875,267.8645,72.332074,25.517261,11.842992,207.7145,281.983,245.672438,108.7645,179.29625,142.443625,36.852359,0
14,207.22675,233.0325,223.08975,-249.4875,-222.97325,-238.56825,237.20575,271.45925,250.902938,69.53582,27.107229,12.047914,226.00075,267.04125,245.941625,103.85775,163.379,136.432,35.826828,0
15,195.215,225.29275,213.079875,-240.332,-210.96175,-227.703938,233.69075,279.56475,255.620688,62.872753,28.459148,12.299602,227.63675,283.204,255.273438,128.51575,193.3105,161.840938,33.16575,0
16,198.19325,243.40775,222.137125,-258.496,-214.161,-236.731063,217.9195,266.38175,249.011188,63.873663,27.590234,11.510796,198.511,271.75175,248.937875,72.168,152.85625,127.45975,32.352709,0
17,196.4605,231.10325,214.105188,-246.46,-211.30375,-228.442438,213.72025,247.339,230.609063,62.838458,26.532249,10.928427,224.82825,255.4445,233.679,101.68425,114.11125,106.359938,35.46392,0
18,191.504,220.5325,211.06575,-234.22825,-203.12475,-224.890125,198.90175,256.12725,227.099438,66.705625,27.318687,11.063617,208.1055,254.37025,230.310125,71.4845,139.45325,102.160563,37.301336,0
19,206.079,249.8535,223.6085,-263.89175,-220.87375,-238.006688,202.19725,255.12675,223.144438,72.29884,27.791943,11.638033,218.18975,290.113,245.361938,59.1555,152.70975,102.337688,37.301225,0
20,210.76625,243.38375,228.3325,-259.52125,-223.29125,-242.675875,181.88525,216.455,204.639,72.920387,27.368848,11.61237,199.65725,241.06425,219.311438,40.649,92.3585,62.328938,38.692702,0
21,221.484,237.4265,230.138813,-251.87975,-236.572,-244.44575,176.41575,221.48475,198.364188,70.675676,26.960715,12.049421,161.279,204.8585,183.154375,32.51975,87.20675,52.917563,35.988444,0
22,215.1855,242.92025,228.894125,-256.56775,-229.95575,-243.457,150.4635,211.45025,177.099438,67.569003,27.173408,11.549128,127.27025,186.32825,144.268813,4.321,84.8145,39.0685,35.45246,0
23,203.979,263.32975,236.645188,-280.4445,-221.14275,-252.215625,130.005,196.9485,162.231563,63.909018,28.19013,11.671246,80.2245,176.074,125.793375,9.497,71.50875,43.609563,36.605246,0
24,228.24675,261.133,246.374438,-274.97525,-243.6035,-261.785813,116.91875,169.5315,151.483375,62.216558,28.212326,11.178295,98.4375,136.74325,117.065625,31.2745,84.3015,55.737313,34.686021,0
25,214.01375,253.27175,231.768938,-267.38325,-228.833,-246.490688,93.38425,120.19075,105.578688,70.538144,26.444475,10.930283,62.74425,125.19525,98.66325,9.91225,58.88675,34.313875,37.118207,0
26,240.015,269.1645,253.72925,-286.328,-254.93125,-269.177,69.14125,122.36325,94.824438,72.67891,27.378168,11.244608,136.621,162.158,151.025313,33.4715,84.424,66.790875,39.381485,0
27,212.8175,244.409,230.645625,-257.251,-228.687,-246.0635,13.96475,96.11775,54.754563,69.364347,27.198166,11.845562,127.832,192.55375,159.564125,18.628,103.29575,65.655438,36.960661,0
28,205.7375,258.81375,222.027563,-276.465,-221.119,-238.836938,15.21,61.1085,32.275313,70.158074,27.181221,12.193021,138.79425,216.382,176.568625,34.37525,85.71775,53.869688,33.64055,0
29,195.53225,231.07875,214.563,-247.827,-212.036,-229.754563,15.64925,56.71425,32.018938,68.397732,25.565419,11.944135,161.7675,220.5565,188.580188,36.52325,123.68125,69.695688,34.655412,0
30,180.15175,221.55725,204.81575,-235.74225,-193.26175,-218.982,-5.46925,48.73075,19.677563,64.18479,27.492533,11.995033,149.1455,216.2595,189.434875,19.70275,80.8595,49.084688,34.545318,0
31,202.173,247.33875,223.895313,-263.15975,-219.751,-239.801188,-1.39175,55.0775,29.614063,57.901085,28.441838,10.987499,191.35725,245.5815,219.988938,35.91275,105.6885,72.802625,37.265395,0
32,212.52425,257.86125,230.145313,-273.26625,-224.63425,-244.531313,6.9335,56.006,29.046625,65.18676,27.832176,11.40992,219.55575,290.2825,245.20225,53.07625,113.45175,79.376188,35.148428,0
33,190.99125,227.41675,210.144,-244.80075,-208.301,-225.76325,-9.64325,19.3115,5.926625,71.677647,26.538952,11.076488,195.3855,256.568,230.07225,19.971,105.27375,73.638938,35.485779,0
34,222.8515,253.8815,237.04825,-270.874,-238.23275,-253.143438,-19.3845,38.06125,2.85625,70.227371,26.993364,11.955553,240.28325,288.00975,261.052875,55.249,102.979,77.691625,34.089083,0
35,203.858,253.1495,232.391563,-270.7035,-218.94575,-247.589438,-38.4765,18.0425,-12.200688,68.190196,28.278252,11.599436,238.1095,318.16275,277.813625,43.38375,123.16875,79.083125,37.941608,0
36,199.8045,235.791,218.65225,-252.246,-215.1615,-233.667188,-59.96075,-16.699,-34.985313,66.636329,26.720239,11.978328,264.59975,341.9175,295.714875,47.63175,132.27525,78.094375,37.258009,0
37,228.12475,235.86475,231.378188,-248.193,-241.724,-245.562813,-56.7625,-13.47675,-37.738063,65.393589,26.839392,11.729909,326.7795,342.91975,337.810688,64.4045,120.09275,85.3945,33.880283,0
38,195.09325,250.43925,219.098188,-266.28475,-209.888,-234.3265,-99.65775,-23.3155,-64.507875,63.287118,27.839846,11.35918,283.1045,376.90475,321.593688,38.76975,128.7105,83.251875,37.822305,0
39,182.104,250.952,222.772125,-265.698,-198.87675,-237.878313,-88.2565,-49.2435,-70.532313,61.837549,28.900989,11.025466,286.8145,355.323,326.72075,90.088,143.45675,112.0665,38.460826,0
40,212.817,230.78625,224.73125,-246.87525,-224.95075,-239.483688,-87.793,-45.58125,-62.420813,67.396469,27.82417,11.495704,321.31325,335.9125,328.650188,134.44825,197.75425,167.895875,34.659042,0
41,190.82025,251.1475,213.409563,-264.28225,-206.86,-227.789375,-103.68625,-62.2805,-87.072875,72.47102,26.582484,11.335379,271.70475,333.98275,295.165313,112.72025,168.09075,146.460125,34.84481,0
