@relation dwt_64_ert

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
17,208.00775,222.09475,214.898688,-239.819,-224.31725,-231.536875,-520.9955,-471.8745,-501.183688,65.120292,28.723376,11.099783,23.4865,66.3325,51.366938,415.40375,500.809,465.480125,38.414651,1
18,187.2075,219.75075,202.21575,-236.0355,-205.27375,-219.372688,-573.56425,-527.688,-548.720813,74.78432,28.837116,11.607015,22.0215,71.216,46.893438,434.69125,525.683,480.144375,36.507604,1
19,177.222,241.87,205.273563,-256.32325,-194.678,-222.540625,-617.6025,-546.655,-572.872,72.159186,28.723129,11.759673,-17.3585,76.51375,35.8765,422.1405,522.828,484.76425,35.614285,1
20,193.13975,223.16875,212.34125,-242.065,-210.00975,-229.968125,-617.46,-570.4075,-593.3775,74.507842,27.131563,12.361628,2.49025,60.8645,36.230563,444.2125,517.2625,477.764875,37.157046,1
21,190.2345,212.5,198.456,-229.56525,-207.81225,-216.351313,-654.3725,-616.3575,-641.8225,71.987006,26.55209,11.966499,-3.19825,29.6875,12.652625,425.24425,475.63675,455.042625,35.353988,1
22,177.1,219.0915,197.9125,-236.4015,-193.579,-214.612,-697.1175,-636.33,-666.795625,65.562941,28.344686,12.640573,-17.0895,62.5975,14.019875,437.52625,534.32375,472.991813,39.039518,1
23,189.0625,236.25525,218.408188,-252.53925,-206.1765,-235.156313,-685.5475,-643.165,-666.10625,62.045085,28.738675,11.961162,7.32375,76.14725,38.903938,446.50775,523.01625,486.077125,33.336258,1
24,192.89525,214.4535,205.499375,-231.592,-211.3035,-221.453875,-724.635,-688.985,-702.67375,64.530565,27.329107,11.324508,26.22,48.46175,37.902375,430.98225,460.40025,450.549625,36.415874,1
25,201.8555,230.59075,212.713563,-247.168,-220.87425,-229.516563,-740.55,-681.64,-711.461875,66.224086,27.101175,11.27951,39.087,88.96475,66.235313,428.34575,493.679,467.065938,36.879897,1
26,183.3495,231.29925,209.314063,-248.8045,-199.87775,-226.544438,-766.1925,-707.955,-739.641875,75.480113,28.342119,11.715448,22.77825,102.173,65.887375,394.94625,495.2385,456.964563,37.425883,1
27,187.47575,225.39075,211.022875,-243.13975,-204.59,-227.942063,-788.8625,-752.0225,-765.36625,75.992766,27.753372,11.755846,67.06525,118.7015,84.85725,416.89425,490.25675,452.9295,37.17691,1
28,201.6355,209.59475,206.6895,-224.09675,-219.1655,-222.619563,-792.1625,-748.07,-773.784375,73.613351,26.04082,11.990517,77.17275,119.40975,97.918875,434.012,512.452,467.913625,34.678115,1
29,193.384,227.29475,206.951875,-243.4815,-209.25275,-223.083375,-847.9975,-805.685,-825.425,70.784924,27.479699,12.266017,83.5695,126.27025,104.92575,421.7305,467.5065,443.029625,36.4839,1
30,186.01075,231.714,211.19975,-247.77825,-204.614,-228.100688,-866.09,-812.82,-836.07375,63.392123,29.408622,12.339304,93.7505,159.131,126.044063,393.435,463.38025,431.317688,38.553801,1
