@relation Sub1_A_32_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute class {0,1}

@data
2.103820999999999941e+00,5.750257000000000396e+00,-4.259404399999999669e+01,6.875611399999999662e+01,4.529478799999999694e+01,2.325598499999999902e+01,3.047303300000000092e+01,-3.545523299999999978e+01,2.257844300000000004e+01,-2.375855200000000167e+01,9.087237999999999261e+00,1.073609100000000005e+01,1
3.202255000000000074e+00,4.244600000000000151e+00,1.273455289999999991e+02,2.281074099999999873e+02,3.692205299999999824e+01,6.993345300000000009e+01,3.471177300000000088e+01,-2.722971100000000177e+01,1.482132200000000033e+01,-1.098424600000000062e+01,2.498208599999999890e+01,9.140829999999999345e+00,1
2.109573999999999838e+00,5.345106000000000357e+00,2.862307159999999726e+02,7.565261759999999640e+02,1.916647370000000024e+02,-1.185706500000000041e+01,5.441689399999999921e+01,-6.906583899999999687e+01,2.542979700000000065e+01,-2.488622799999999913e+01,1.070870099999999958e+01,1.000614799999999960e+01,1
3.069513999999999854e+00,2.920533999999999963e+00,6.709542989999999918e+02,9.471961760000000368e+02,9.987600000000000477e+01,7.535206100000000617e+01,2.645689300000000088e+01,-1.183124000000000065e+00,1.053259500000000060e+01,-1.164168399999999970e+01,1.352094699999999960e+01,7.795304999999999929e+00,1
2.990145000000000053e+00,5.669539000000000328e+00,4.399354180000000270e+02,5.477059759999999642e+02,3.841275300000000215e+01,8.210321500000000583e+01,3.995219699999999818e+01,-1.917746400000000051e+01,1.349501599999999968e+01,-1.495395300000000027e+01,1.827178599999999875e+01,8.447744000000000142e+00,1
2.292689000000000199e+00,4.259541999999999717e+00,4.257710180000000264e+02,6.235818239999999832e+02,8.158703300000000525e+01,7.621544400000000508e+01,6.212395800000000179e+01,-8.769151200000000301e+01,4.144120999999999810e+01,-4.038589999999999947e+01,2.468426099999999934e+01,1.440206200000000081e+01,1
1.748725000000000085e+00,2.431557999999999886e+00,-3.372492770000000064e+02,-3.356510099999999852e+01,1.221884000000000015e+02,1.200428789999999992e+02,4.542152600000000007e+01,-3.189190200000000175e+01,2.850378900000000115e+01,-1.987682500000000019e+01,2.417732600000000076e+01,1.237991199999999914e+01,1
2.599416999999999867e+00,4.409761999999999738e+00,-3.777763919999999871e+02,-1.583029909999999916e+02,8.548788999999999305e+01,6.010628299999999768e+01,5.237875100000000117e+01,-4.255399299999999840e+01,1.817974699999999899e+01,-2.516802600000000112e+01,3.610508399999999796e+01,1.409161199999999958e+01,1
2.650635999999999992e+00,3.298153000000000112e+00,-2.506798190000000091e+02,4.311772330000000011e+02,2.657273149999999760e+02,4.022169900000000098e+01,8.481982800000000111e+01,-5.917133100000000212e+01,2.500316600000000022e+01,-4.654508700000000232e+01,2.020260100000000136e+01,1.622470799999999969e+01,1
2.319243000000000166e+00,2.834684000000000204e+00,-5.733450500000000147e+02,3.430866809999999987e+02,3.739186859999999797e+02,1.084805510000000055e+02,6.478114300000000014e+01,-3.688000799999999657e+01,3.533424899999999980e+01,-1.146787800000000068e+01,2.968709899999999990e+01,1.185418199999999977e+01,1
2.045498999999999956e+00,2.165462000000000220e+00,-3.752474310000000060e+02,6.450290999999999997e+01,1.712578080000000114e+02,1.199241059999999948e+02,9.276868600000000242e+01,-5.877214899999999886e+01,3.397082300000000288e+01,-3.251612599999999986e+01,1.942604700000000051e+01,1.458829399999999943e+01,1
1.586467999999999989e+00,3.357930000000000081e+00,-1.269003299999999967e+02,1.841250770000000045e+02,1.506407550000000128e+02,1.392654770000000042e+02,6.632193300000000136e+01,-4.673569100000000276e+01,3.059368900000000124e+01,-3.252080099999999874e+01,4.312337999999999738e+01,1.897854299999999839e+01,1
