@relation Sub1_B_64_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute class {0,1}

@data
-1.102797200000000011e+01,1.157088000000000072e+01,-1.192191599999999951e+01,2.207393100000000175e+01,4.315747000000000000e+00,2.021491000000000149e+00,2.575521000000000171e+00,-4.314059999999999562e+00,3.802664000000000044e+00,2.281878999999999991e+00,-9.084191999999999823e+00,9.943507000000000318e+00,6.867912999999999712e+00,2.077090999999999799e+00,-1.809382000000000046e+00,3.727327999999999975e+00,-1.415796000000000054e+00,2.594763999999999982e+01,1.082053400000000032e+01,7.709462000000000259e+00,-7.907748999999999917e+00,9.018319999999999226e+00,-9.102399999999999380e-02,0
-9.791097999999999857e+00,3.945805000000000007e+00,-1.161212199999999939e+01,3.879879999999999995e-01,-6.478715000000000224e+00,-1.071121600000000029e+01,2.392656000000000116e+00,-3.823113999999999901e+00,2.273826999999999821e+00,1.766936000000000062e+00,-1.847304300000000055e+01,-1.547897000000000078e+00,6.073974999999999902e+00,4.716765999999999792e+00,-8.957185000000000841e+00,5.107169999999999987e+00,-5.090225000000000222e+00,6.342916999999999916e+00,4.564220999999999862e+00,2.245629999999999793e+00,-7.800019999999999731e-01,8.120416000000000523e+00,4.486043999999999699e+00,0
-2.357233899999999949e+01,1.527199300000000015e+01,-1.349470400000000048e+01,9.355705999999999634e+00,-2.616607999999999823e+00,-2.847595999999999794e+00,2.018670999999999882e+00,-4.052561999999999998e+00,3.789930000000000021e+00,2.129061000000000092e+00,-9.427182999999999424e+00,4.188456999999999653e+00,4.927429000000000059e+00,6.684482000000000035e+00,-9.010028999999999400e+00,6.441753000000000284e+00,-1.095904799999999923e+01,1.811102999999999952e+01,1.033852599999999988e+01,3.353203000000000156e+00,-7.964893000000000001e+00,1.536037100000000066e+01,5.218466000000000271e+00,0
-2.321830699999999936e+01,6.155999999999999694e+00,-1.797963800000000134e+01,-6.423108000000000040e+00,-1.053873899999999963e+01,9.715282000000000195e+00,5.023219000000000101e+00,-3.529913000000000078e+00,3.548773999999999873e+00,2.025383999999999851e+00,-1.779889000000000010e+01,3.962553000000000214e+00,9.602042000000000854e+00,4.719987999999999850e+00,-1.090038700000000027e+01,1.214031899999999986e+01,-2.022215500000000077e+01,2.299809000000000214e+00,8.384259999999999380e+00,-9.553492999999999569e+00,-1.126714300000000080e+01,-8.917929999999999469e-01,-7.003472000000000364e+00,0
-2.609341699999999875e+01,9.100569999999999382e+00,-1.716219200000000100e+01,9.382899999999999574e-01,-7.807151000000000174e+00,1.771517000000000008e+00,3.942340999999999873e+00,-6.322665999999999897e+00,5.080105999999999788e+00,2.932061000000000028e+00,-8.649312000000000111e+00,1.431532000000000027e+00,3.838637999999999995e+00,3.974467999999999890e+00,-7.563636999999999944e+00,6.590366000000000390e+00,-1.555909100000000045e+01,4.048468999999999873e+00,7.046596000000000082e+00,-4.668643999999999572e+00,-1.461367500000000064e+01,-1.556953000000000031e+00,-9.565189999999999415e+00,0
-4.426458000000000226e+00,6.980925000000000047e+00,-8.792229000000000738e+00,7.023960999999999899e+00,-5.499589999999999756e-01,2.320249000000000006e+00,2.783357000000000081e+00,-5.569797000000000331e+00,4.568177999999999628e+00,2.678015999999999952e+00,-1.026735299999999995e+01,3.950038000000000160e+00,5.613535999999999859e+00,4.442427999999999599e+00,-1.349994300000000003e+01,8.554318000000000310e+00,-6.896554000000000073e+00,5.713364999999999583e+00,4.700428999999999746e+00,-1.441481999999999930e+00,-6.079099000000000252e+00,1.730426999999999937e+00,-2.387547999999999782e+00,0
3.174688999999999872e+00,4.567133000000000109e+00,-8.777010000000000645e+00,6.021747999999999656e+00,2.501030000000000197e-01,2.008237099999999842e+01,3.395014999999999894e+00,-3.015003000000000100e+00,2.811153000000000013e+00,1.522561999999999971e+00,-4.746036000000000143e+00,9.119979000000000724e+00,5.042555000000000121e+00,3.318172999999999817e+00,-6.271081999999999823e+00,1.440679000000000043e+00,1.149901999999999980e+00,2.031888800000000117e+01,7.503537999999999819e+00,7.545563999999999716e+00,-2.488680000000000003e+00,1.677173700000000167e+01,8.372840999999999312e+00,0
1.555189999999999906e-01,1.977757999999999905e+00,-4.697932999999999915e+00,4.569632999999999612e+00,-8.928310000000000413e-01,1.281112000000000073e+01,3.305153999999999925e+00,-2.530743000000000187e+00,3.555285000000000029e+00,1.539965999999999946e+00,-6.476289999999999658e+00,1.724488200000000049e+01,8.562371999999999872e+00,5.572821000000000247e+00,-3.758274000000000115e+00,6.818549999999999889e-01,-4.251206999999999958e+00,1.230062200000000061e+01,5.989689000000000263e+00,3.115229999999999944e+00,-6.734249000000000152e+00,1.091815399999999947e+01,-3.258240000000000025e-01,0
4.094511999999999929e+00,8.171217000000000397e+00,1.070931500000000014e+01,2.685371999999999915e+01,1.797916199999999876e+01,1.467923799999999979e+01,3.452176999999999829e+00,-6.068037999999999599e+00,3.316715999999999998e+00,2.862601000000000173e+00,-1.839291300000000007e+01,8.687305999999999528e+00,1.039483199999999918e+01,4.595324999999999882e+00,-5.017941000000000429e+00,1.183426000000000089e+00,-1.692122499999999974e+01,1.118263400000000019e+01,1.083361599999999925e+01,-2.022399000000000058e+00,-1.223424000000000067e+00,1.317929299999999948e+01,5.303391999999999662e+00,0
1.810977199999999954e+01,5.540467999999999726e+00,1.208489800000000081e+01,2.917701999999999884e+01,2.230796399999999835e+01,1.207523100000000049e+01,3.055328999999999962e+00,-2.004272999999999971e+00,4.821721000000000146e+00,1.832273000000000041e+00,3.823882999999999921e+00,1.801500400000000113e+01,5.468040000000000234e+00,4.289295000000000080e+00,-4.770392000000000188e+00,5.223969000000000307e+00,7.028280000000000083e-01,1.575081100000000056e+01,5.773534999999999862e+00,8.815234000000000236e+00,7.819952999999999932e+00,1.367215900000000062e+01,1.084709299999999921e+01,0
