@relation Sub1_B_32

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute class {0,1}

@data
-19.522782,18.110949,13.311844,-1.115369,-1.729485,5.160227,2.710825,2.637152,-8.010606,9.454324,5.833074,1.073912,-4.33043,4.576516,2.735494,0.378758,-28.129265,6.512911,12.453586,-11.45792,-0.626982,13.217053,5.543369,4.025857,-4.190771,7.622326,4.098333,1.134126,-3.812771,4.530846,2.507401,0.305325,-9.682172,-0.229385,3.492904,-3.969043,-0.042104,3.282637,1.446741,1.621799,-4.106384,5.90087,3.473751,0.484311,-3.550158,3.297131,1.982132,-0.003869,-11.401445,8.301925,7.084834,-1.796191,-2.606833,4.678413,2.905093,2.372534,-11.317376,5.908866,4.827402,0.26868,-6.868531,10.114614,3.905602,0.093235,-0.271059,28.001837,10.378627,12.563329,-1.045973,6.305314,2.700836,2.446848,-19.154716,7.037339,7.19249,-1.728644,-5.79658,8.361329,3.868039,0.249706,-7.258646,8.807278,6.208121,-1.160836,-0.467699,6.022709,2.398732,3.082809,-4.987925,7.676492,3.793786,1.11585,-2.790477,5.061497,2.109286,0.030528,0
-11.712931,9.876429,8.525704,0.18276,-16.858148,4.906423,8.514368,-4.01508,-7.40765,5.732985,4.075044,-0.111761,-5.075084,5.837681,3.079703,-0.237235,-8.436642,1.710066,3.858175,-3.826664,-10.560876,4.591049,5.998286,-1.575386,-6.434819,3.246631,3.317483,-1.777179,-6.832399,7.847424,3.546928,0.107058,5.97205,22.924011,6.171881,13.122142,-9.621939,1.735987,4.207101,-2.76889,-11.817558,3.088779,4.645884,0.149854,-3.528075,2.795702,1.652284,-0.192955,-4.994566,14.800404,7.145415,5.862898,-6.212928,-0.617607,2.217845,-3.973037,-7.370662,6.289614,3.559653,-0.54323,-4.805753,4.301126,2.618784,-0.358304,11.506206,28.899345,7.289485,19.817056,-10.308417,5.131227,6.061155,-1.744622,-6.770144,7.730063,5.105643,2.113477,-7.086195,5.85439,4.002703,-0.360474,-10.07059,3.974936,5.132887,-2.038762,-9.766984,2.958112,4.632003,-2.575744,-4.276854,5.555277,3.332331,-0.520493,-4.564372,4.287787,1.918067,0.01383,0
0.409849,11.854951,4.633877,6.64067,-4.403089,1.361486,2.211728,-2.378397,-1.029987,6.141856,2.727107,1.61809,-7.590884,7.607161,4.115778,0.022337,-3.538389,4.39569,3.065746,-0.792739,-6.738648,5.13654,4.367774,-1.947071,-12.027348,7.548903,5.357255,-0.15611,-5.561533,4.055037,3.012336,-0.333167,-22.674807,12.04893,12.77224,-1.818345,-7.154585,10.399592,6.946254,-1.116153,-2.853999,8.417853,3.147626,1.399767,-5.828273,4.054072,2.99119,0.20397,13.204218,28.90529,5.615637,21.657368,-5.159717,3.113217,3.42944,-2.784943,-7.786102,7.417816,4.889126,-0.409781,-3.276223,2.556368,1.691548,-0.089596,14.96173,31.176348,6.595616,26.211265,-5.439496,-0.311042,2.055379,-1.993885,-6.519088,11.212176,5.813907,1.7566,-6.561578,4.852799,3.500015,-0.053491,-14.239902,0.99125,6.047884,-9.299093,-2.368316,10.153408,5.124662,1.324876,-3.801463,4.982645,2.540687,-0.247425,-3.809508,4.544625,2.170269,0.054229,0
-0.42475,14.211959,6.350969,6.114217,-7.392496,-0.000045,3.06801,-4.453747,-7.337012,4.994976,3.770186,-1.815665,-5.560125,4.561796,3.192379,-0.215622,4.069135,8.296151,1.929867,6.373944,-9.665991,1.628634,4.400647,-3.51109,-8.049018,7.894429,5.18014,-1.949856,-5.311887,3.805003,2.40706,-0.025427,-38.311875,-29.300391,3.654549,-33.805147,-6.134561,9.063526,5.81439,0.929937,-4.002041,6.549956,4.294391,0.938575,-3.829696,2.766084,1.817507,0.125213,-1.864295,17.483761,7.180215,9.905615,-7.777276,1.689453,3.795537,-1.644404,-13.022626,9.460468,6.34934,-1.720343,-2.765681,3.057152,1.699665,0.072991,-1.331025,19.468045,8.577466,13.482466,-12.332947,2.392257,5.430594,-3.44578,-15.392824,8.286966,6.944845,-1.753515,-5.323221,6.614698,3.373703,0.076506,-18.846765,-5.398745,5.775571,-12.114418,-6.012677,0.22308,2.327752,-3.616791,-7.914515,6.912493,4.770531,-0.191208,-3.069497,5.813558,2.488112,-0.122641,0
11.360751,17.430135,2.26198,13.979812,-6.991323,3.946358,3.949098,-0.734075,-7.132014,2.724086,2.739571,-2.093433,-3.784959,4.812795,2.644174,0.029488,12.284337,18.645308,2.778476,15.311666,-7.11067,4.416293,4.130764,-1.011773,-5.320848,0.759541,2.078761,-1.750688,-3.030202,2.793077,1.739665,-0.048331,-35.572804,9.199001,16.474173,-12.25257,-15.439698,-0.129312,6.362867,-6.158039,-3.680777,4.733159,3.099686,-0.347896,-4.839143,2.251329,1.597368,-0.550129,4.226913,16.100875,4.660042,10.709902,-5.500557,3.041253,3.030719,-1.146953,-6.758643,2.908349,3.186185,-1.741002,-4.280188,4.567961,2.277727,-0.163636,5.73788,17.656158,4.646092,12.802314,-8.490719,-0.239932,3.035932,-3.524906,-9.979224,5.954982,5.152305,-3.481456,-5.565404,4.5866,2.758099,-0.066626,-9.269366,48.20238,22.880894,15.141531,-28.550746,2.289021,12.745775,-6.583167,-10.218206,3.528173,4.210875,-0.138398,-7.034617,6.071875,3.216815,-0.365034,0
-1.705472,18.933651,8.222034,9.232208,0.673158,2.504626,0.671709,1.435155,-5.324492,4.352033,2.853891,1.079404,-2.52665,4.807192,1.596098,0.436402,5.527625,23.488025,7.659535,15.44335,-0.93331,4.734519,2.262207,1.558072,-4.059554,8.118793,3.21242,1.45411,-3.283131,3.833989,2.191478,0.347547,-6.454818,14.471941,8.828231,5.669342,2.682991,8.32543,2.203842,4.664711,0.922828,7.935477,2.309116,4.130855,-4.051483,4.315239,2.179843,0.322159,-1.614661,23.417239,9.904208,12.162063,-3.083289,8.254719,4.474581,4.09186,-7.0831,6.292154,5.16517,1.016848,-3.038929,2.55137,1.708846,0.328422,8.886326,20.585029,5.041028,13.903686,-4.228887,6.268501,3.928578,2.273334,-7.634409,6.681563,4.715199,0.845023,-4.787798,5.070648,2.854946,0.36185,22.873014,40.715038,7.580053,31.302109,0.213669,5.621495,1.968365,2.465848,-3.874619,5.12032,3.340924,0.936159,-2.512045,3.084752,1.60909,0.252232,0
-11.068064,8.114138,7.438632,-3.064306,-4.186434,0.404969,1.688628,-1.528126,-9.335084,6.600255,4.127369,-0.928301,-4.0605,3.048302,2.245849,-0.303725,-13.310701,5.158967,7.583301,-7.930301,-3.033104,0.952197,1.735365,-0.762895,-6.120077,4.663339,3.169758,-0.608074,-5.318223,3.809187,2.342692,-0.292647,-18.19376,6.868212,9.014871,-7.209275,-2.737183,2.385481,1.84418,-0.275374,-6.25493,6.285407,3.740968,-0.626378,-3.783148,2.80117,1.713017,-0.244423,-8.867441,5.764269,5.509773,-0.973123,-5.381037,5.961085,4.375946,-0.744139,-6.992851,4.685515,3.578226,-0.158646,-4.066708,2.277792,1.717024,0.141469,-9.688225,4.175628,4.905813,-2.843723,-5.147718,4.270398,3.602226,0.242279,-10.238496,6.060455,5.308734,-1.689959,-5.819449,2.260637,2.193029,-0.11363,-10.159837,6.350327,6.079946,-0.792771,-2.653661,1.411866,1.681761,-1.088759,-8.616441,3.553075,3.425708,-0.18127,-2.805114,3.781405,1.702919,-0.19067,0
12.732938,18.800591,2.208786,15.574633,-5.79508,6.435389,4.444656,1.32435,-4.793155,2.382741,2.184663,-1.522424,-6.306293,2.546313,2.382238,-0.237984,-6.662196,4.326472,4.357406,-3.119629,-3.537779,7.908372,4.19321,1.702168,-8.402228,3.045423,3.281787,-1.460471,-4.557709,3.287495,2.544066,-0.050526,-14.712161,-6.25347,3.257913,-9.225288,-1.337552,6.560579,2.866404,2.798517,-6.505093,4.09589,2.885989,-0.986189,-2.289997,2.276911,1.575845,0.038462,0.339198,14.273836,5.243504,6.408984,-3.659891,9.518925,5.190111,3.753316,-7.865848,3.4494,3.674963,-0.762158,-4.037245,5.32604,2.635449,-0.072852,8.242338,24.576963,7.002281,16.178206,-12.0842,18.555322,10.858238,3.161898,-13.376997,7.228593,6.138554,-2.407595,-10.364196,9.917033,5.462165,0.079158,1.073825,8.79159,2.729928,4.849406,-2.499188,4.6012,2.818314,2.293532,-9.325029,2.716633,3.554331,-1.800552,-5.053556,4.812886,2.688094,-0.042729,0
5.804935,31.461987,9.554604,16.338173,1.001049,7.197816,2.318728,3.989075,-2.868165,4.298699,2.485518,0.803235,-5.564557,5.328229,3.128384,0.45918,-13.333443,12.224724,9.192121,0.793358,0.759948,9.670739,3.926509,5.260377,-4.884443,3.73703,2.437064,-0.581762,-5.578723,3.291437,2.10046,0.285649,-27.633378,-9.575894,7.302001,-20.264862,-1.376464,6.494721,2.791387,2.7497,-5.267763,2.807671,2.506424,0.034901,-2.542111,2.523856,1.439474,0.23341,-9.509647,12.632716,8.70071,3.717904,-2.696778,4.829972,3.114041,0.337538,-8.271118,5.350284,4.694975,0.99453,-4.30496,2.793334,2.147243,-0.028011,-3.83547,28.985731,12.094511,14.448294,-2.926649,6.586558,3.418289,2.29631,-6.821009,10.761949,5.262636,2.032972,-3.054389,2.270151,1.683918,0.124924,-2.808796,10.085532,4.977224,4.560401,-0.557978,5.515057,2.701297,2.509557,-4.100971,2.679058,2.065322,0.056965,-3.027003,2.800235,1.390695,0.194402,0
6.456204,23.981956,6.535135,17.295999,-7.170846,7.482255,5.389972,-1.224865,-6.20691,3.475143,3.258229,-0.558559,-2.776027,2.809976,1.740724,0.001069,-1.861979,22.224415,9.594714,11.328313,-9.819898,4.04725,5.270521,-0.953337,-4.131843,7.864758,4.397842,0.988329,-4.794465,4.076029,2.503196,-0.099703,-24.812673,18.274804,16.616723,-2.425884,-12.363203,5.017402,6.229664,-2.671931,-7.660643,7.971284,5.321432,-0.322692,-3.012489,3.274074,1.690886,-0.318925,-1.93998,2.039482,1.593592,0.556798,-2.161694,3.187873,1.98811,0.505683,-6.446933,4.295356,3.114134,-0.355582,-3.555643,4.304854,1.756002,0.00053,11.136588,20.74872,3.871355,15.957942,-1.549229,1.280808,1.023003,-0.338788,-8.0457,8.98348,5.089237,-2.667514,-5.550936,4.303734,2.503751,-0.253463,-10.373872,7.988351,7.182362,1.851616,-5.011251,1.552226,2.629677,-1.279491,-3.091391,3.791227,1.768762,-0.104801,-2.537417,2.792045,1.491781,-0.140639,0
