@relation dwt

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
7,124.295937,144.97775,8.67722,129.967199,-38.497014,41.121795,28.790774,7.034917,-21.1425,24.4625,16.417855,2.825812,-13.05107,13.741206,7.628674,-0.720851,-156.716783,-135.689902,8.537069,-142.008432,-43.469036,38.186948,29.344231,-7.474826,-26.318,22.217,16.618797,-3.73525,-12.982481,11.532204,7.198174,0.776934,-542.382721,-490.350268,20.271685,-522.112621,-51.516265,66.605923,42.92677,12.583849,-31.3,36.475,26.367073,2.514375,-16.984705,18.575695,11.90648,0.180754,132.2371,167.005894,12.865024,145.849524,-47.163669,66.084432,43.897423,18.014341,-38.3785,43.555,31.433393,4.303063,-22.511451,19.749492,12.688845,-0.988403,275.176261,343.021035,25.729021,309.650898,-49.16266,89.530679,52.225265,21.373363,-44.0405,47.314,39.078139,3.80875,-21.680601,21.538473,15.438338,0.888568,0
8,127.092191,145.702181,7.840637,136.026308,-40.361302,39.94729,31.392299,-5.84353,-27.0505,27.881,17.835329,-2.459625,-14.500639,12.153751,7.724108,1.057478,-157.130794,-140.144321,7.549254,-147.713811,-42.295239,41.258974,32.167008,5.498374,-30.6155,27.393,18.191511,2.337563,-11.325022,12.015158,7.06816,-0.798368,-522.735759,-495.080813,10.387104,-511.340733,-68.674211,68.536325,56.082337,-1.969292,-29.73,35.89,23.631147,-1.91625,-18.441345,18.229213,11.72693,1.88002,131.650555,168.075746,13.55702,145.858098,-77.823465,65.911898,57.822904,-2.796784,-37.012,39.6,27.091112,-3.45475,-16.573169,22.511451,12.68187,3.021114,286.640937,318.650246,12.832508,301.343366,-77.308338,98.819587,73.691459,10.35001,-39.795,44.239,29.674256,0.153438,-24.23962,26.721565,15.193517,1.601641,0
9,126.954659,147.740416,8.91815,137.684032,-31.903244,10.461998,20.866672,-10.953703,-19.8245,23.7305,15.581974,-1.702812,-13.120366,12.015866,7.930972,0.487771,-160.617891,-139.522421,9.556486,-150.329222,-10.219814,32.696264,20.302403,11.134722,-24.658,21.826,16.252759,0.976563,-11.739387,11.186429,7.300677,-0.621503,-514.137341,-493.17516,7.904576,-504.510966,-67.528698,45.580103,43.732467,-17.526525,-31.84,39.06,28.001396,-1.678125,-18.512056,15.464425,12.120242,0.669542,123.156435,167.316314,16.357555,144.94319,-66.325909,35.355339,39.782215,-17.142655,-35.4495,36.6695,27.391469,-4.858313,-22.373566,18.78217,13.527228,1.277433,270.068121,333.149471,24.618513,300.616549,-81.107623,66.80957,53.778839,-16.427151,-46.192,60.356,42.773414,-0.29775,-23.758081,18.504984,16.236529,0.150437,0
10,131.477314,163.75992,11.853606,149.060231,-37.564694,40.396303,31.269942,-4.013538,-22.3635,29.834,16.6556,-2.227875,-18.022738,11.532204,8.624961,1.842897,-177.122117,-144.04543,12.706236,-161.438312,-41.293622,35.45893,31.355059,3.237135,-32.959,19.971,16.43627,2.069,-10.358407,16.020211,7.970028,-1.644465,-532.995878,-487.037473,16.994506,-505.076651,-69.36364,68.70603,51.043201,-10.789566,-35.7,39.405,26.479453,-2.589375,-19.473721,13.399674,12.27019,2.416979,124.98678,152.848909,10.093681,139.651645,-82.41577,65.428237,53.275477,-8.881968,-46.582,53.76,31.357412,-1.690625,-25.756365,32.316901,16.735216,2.498827,271.760581,307.425633,14.302839,295.392797,-90.940296,92.669526,66.233416,-12.187339,-51.0245,49.5155,35.700939,-1.46375,-24.86046,30.59651,18.107466,2.416891,0
11,125.124666,155.335096,11.202544,142.914589,-39.808698,35.942945,27.891004,3.979597,-23.4865,35.107,19.519205,3.131125,-16.227394,10.289111,8.085955,1.972298,-167.902859,-138.935522,10.600784,-154.498235,-35.803645,37.392514,26.931282,-4.583289,-36.6205,19.824,19.930387,-2.679375,-10.702768,14.9843,7.474352,-1.834235,-521.148304,-487.656192,13.397207,-501.749714,-70.982914,62.186506,51.823282,5.203422,-34.425,41.555,26.226998,0.786875,-18.922177,14.156278,11.611976,2.766113,142.215084,191.48487,18.082343,166.444274,-69.916597,56.865527,48.748051,3.27143,-22.2165,33.545,20.504348,4.84,-28.381145,33.559995,15.860871,2.87872,303.422702,350.892901,20.218551,326.725671,-77.374099,77.135097,64.507314,13.570351,-33.84,42.6285,27.64921,-1.856562,-25.756365,26.930869,15.994308,4.263633,0
12,138.34827,170.872707,13.224413,151.960341,-22.614689,40.499541,23.524802,11.143384,-21.631,28.955,18.78385,3.423937,-13.534731,12.706002,7.642973,2.248555,-185.995246,-149.638644,14.068352,-164.2952,-39.326451,22.718634,23.409102,-10.893334,-28.857,19.238,18.901587,-3.63775,-15.192189,12.775298,7.528348,-2.425465,-526.638988,-469.455263,23.030261,-496.208648,-27.796368,60.941998,39.7474,16.548066,-36.525,43.41,30.730439,4.645,-18.787827,14.849242,12.121413,2.948635,133.790967,201.221023,27.451402,169.223823,-22.441801,62.83563,36.69495,17.305997,-41.358,55.5685,36.142082,9.235187,-19.058649,41.159272,13.950885,3.871277,269.964177,346.679959,29.45351,310.341742,-32.074717,74.513145,51.117555,20.718052,-44.2375,46.1905,33.772657,4.699375,-23.823135,22.165676,16.326726,3.410111,0
13,136.829758,162.413589,10.107273,147.800255,-35.079214,43.676572,33.174681,2.494761,-25.2445,24.17,13.530209,-1.263562,-10.56559,12.913184,6.746692,1.748012,-174.290508,-150.39843,9.637275,-159.496155,-42.502421,35.839,33.219614,-1.277477,-24.1215,23.926,14.087219,2.270438,-13.327549,9.944043,6.856505,-1.821286,-522.83829,-468.253182,20.729943,-498.254838,-70.155599,54.867951,52.353243,3.782137,-39.695,37.355,25.132016,-1.135625,-16.228101,15.259364,10.579917,1.975922,158.33924,190.829028,14.020606,174.032149,-65.704362,70.849625,55.708748,9.599063,-39.7955,39.943,26.294609,0.964188,-17.124712,25.825661,12.940342,3.288798,299.34411,338.223316,14.423841,317.09249,-108.622915,74.645374,71.742109,3.951666,-57.9595,45.315,35.494442,-2.7835,-25.480593,35.007443,16.835411,2.960037,0
14,144.183669,163.208023,7.860362,152.79782,-42.39883,26.412913,25.506302,-10.029956,-31.836,28.467,19.804822,0.390625,-13.326842,9.391792,7.174991,-0.181108,-176.569867,-156.923965,8.554445,-165.823081,-26.48221,44.366708,26.097597,9.883231,-26.8065,29.004,19.043173,0.37225,-10.3577,12.844595,7.50107,0.142482,-505.708628,-462.239238,15.754059,-484.517521,-70.19449,58.039325,46.261081,-13.81775,-41.355,36.72,28.926397,0.054375,-17.126126,15.676557,11.129052,-0.436196,177.225708,211.991674,13.910086,200.839804,-79.20197,58.347977,49.434495,-18.246625,-44.629,43.697,32.548784,2.294313,-20.577514,14.846414,11.626893,-1.30333,287.23031,341.878704,19.794498,316.713039,-89.252786,92.116568,68.713624,-16.331957,-52.639,43.065,37.236542,-0.537563,-22.02779,18.851467,14.925914,-0.542837,0
15,160.100289,177.915844,6.743449,169.284457,-47.197963,40.983555,31.493423,-7.544034,-29.9805,29.883,18.116731,-0.768938,-11.531497,11.67009,7.151948,-0.483352,-189.274808,-172.978471,6.657153,-181.886602,-39.740108,46.887544,30.960502,8.044754,-29.1015,27.0995,17.509207,-0.061125,-13.465434,11.946569,7.510151,0.388378,-484.99747,-453.163523,12.552518,-465.394702,-70.466726,49.854564,43.907362,-15.46089,-41.36,31.935,27.933656,-4.3525,-16.02304,16.228101,10.683447,-1.074802,201.703624,225.805005,9.558209,215.179046,-67.467179,48.303171,43.961322,-14.596187,-47.0195,45.02,30.842126,-5.963188,-16.228101,18.851467,11.471473,-0.141819,291.924792,346.26913,22.841938,320.183607,-85.867512,56.381513,52.540226,-19.526754,-46.535,35.8405,34.403275,-6.96925,-19.334421,20.788939,13.555214,-1.56138,0
16,161.89528,172.32263,3.753764,166.798358,-41.845872,36.805262,32.966722,3.573541,-28.5645,21.338,16.092526,-0.378375,-10.702768,11.877273,6.413101,-0.845876,-185.097574,-174.947057,4.106592,-178.175176,-36.736672,42.26059,32.8002,-3.31474,-20.459,24.5605,15.248844,0.903375,-13.396138,11.048543,6.97957,0.802743,-485.690435,-452.990282,13.681924,-467.543423,-65.223529,68.568145,56.644891,3.782137,-43.605,31.055,26.455294,1.745625,-17.267548,17.394827,11.128234,-1.830965,208.159862,242.030984,12.961504,225.260002,-63.769364,76.994383,60.364968,1.735063,-48.1445,33.884,28.339178,-1.64175,-18.504984,26.656511,12.999496,-1.065522,298.419214,375.587545,28.658631,340.262435,-78.829325,73.125801,66.248114,-2.384011,-53.124,45.464,35.249943,2.064375,-25.687775,24.861874,16.190564,-2.545584,0
17,144.011135,159.789516,6.314717,151.736276,-14.812119,39.498631,26.451457,12.731634,-26.9535,25.537,18.655125,1.666125,-10.909951,11.186429,7.453739,-0.970946,-171.701436,-156.232768,6.102234,-164.76136,-39.671872,15.433666,26.840459,-11.704562,-24.658,24.658,18.128914,-1.745625,-12.706002,12.015866,8.209311,0.880436,-514.787879,-476.335412,13.972246,-497.763399,-43.780516,65.42859,41.342403,17.496473,-43.605,32.765,29.228183,1.774375,-13.675445,17.819091,11.874754,-0.808311,191.65705,239.856984,18.248094,214.237975,-50.30393,60.940937,42.120841,14.553672,-39.1595,55.859,27.876754,7.251,-15.813029,30.244371,13.718538,-1.053324,279.389203,366.160044,31.260191,324.033008,-57.174179,75.512287,48.135732,19.611872,-58.595,38.3765,37.718492,-4.834813,-21.061175,21.61484,15.883019,-1.070162,0
18,145.806125,184.54497,15.564549,158.330666,-40.845316,36.805262,31.529573,4.186161,-30.0295,20.6055,15.096105,-0.360062,-9.666857,11.946569,6.220798,-2.835454,-197.354917,-157.649103,15.731286,-170.708747,-36.943854,39.912289,31.576496,-4.911652,-18.603,28.2235,14.922028,-0.042562,-12.43023,10.150518,6.440103,2.740525,-540.75284,-472.329652,25.621377,-514.550998,-65.806893,69.536881,49.19776,9.565387,-36.43,30.715,25.411961,1.86875,-14.156278,16.228101,10.946618,-2.399744,185.718414,252.352975,25.692072,210.534061,-50.372519,69.399349,44.076221,15.908223,-44.922,41.162,29.79087,4.352438,-22.995113,14.639232,11.544059,-2.800629,263.23252,356.213173,34.683988,310.879054,-80.965494,92.806704,62.261552,16.004036,-35.845,44.7735,30.682564,2.892563,-26.926626,24.30326,16.500537,-1.010411,0
19,142.836984,183.440116,15.992253,161.576286,-37.909762,32.006128,26.451046,-8.312305,-39.1605,19.287,19.471444,-2.935937,-13.258252,10.772772,7.059052,-2.058697,-198.183292,-155.128621,16.632074,-174.618959,-33.042039,37.979412,26.383575,7.544122,-20.947,37.0115,18.379237,3.064,-10.289111,16.089508,7.440634,2.244269,-518.04057,-473.291317,17.262827,-499.651374,-59.107056,72.089536,54.311759,-5.747894,-45.51,36.185,28.283133,-1.049375,-14.63711,18.370634,11.439064,-2.943774,208.435987,244.89512,14.423831,229.282114,-59.003111,68.778862,53.47825,-6.290687,-58.6915,41.9425,34.219716,-2.166063,-24.651864,27.620298,12.884771,-1.488504,314.741714,348.993966,12.163843,332.827295,-66.565618,105.409115,72.597218,4.289575,-53.614,47.164,34.686676,2.752438,-30.172246,26.035672,16.860621,-3.465221,0
20,166.246108,184.027368,6.418412,176.250254,-43.849106,28.726213,28.214092,-7.708171,-26.953,21.2895,17.883237,-1.690625,-11.807976,11.394319,6.161411,-2.317542,-196.698368,-179.953019,6.062545,-188.990462,-28.138961,45.885927,28.587028,8.312129,-23.584,26.2695,18.020917,0.567562,-12.567409,10.979954,6.089989,1.998328,-531.023051,-479.330009,19.852178,-506.323811,-63.664359,29.313112,43.403901,-17.166785,-39.115,33.99,28.713253,-3.78875,-15.054303,15.817979,11.642506,-3.171374,237.577979,256.395505,7.634524,246.26072,-60.731987,39.048558,43.59677,-13.395254,-51.0255,30.5655,28.642965,-7.080625,-19.751614,22.923695,12.83529,-2.5036,305.113041,350.58036,18.403572,330.420127,-74.543904,49.616976,51.853105,-17.694552,-48.34,49.758,37.716658,-5.897062,-33.142095,36.875619,18.544737,-3.288356,0
21,155.473689,188.308546,12.110774,174.800067,-43.469036,42.502774,34.615515,-1.354905,-24.1215,20.557,15.306673,1.446563,-12.636705,12.498819,7.389551,-1.998151,-200.496946,-169.319194,11.432983,-186.789504,-41.431861,45.333323,34.828164,1.898935,-21.9725,24.561,14.449086,-1.07425,-12.429523,10.841361,7.333349,1.821242,-538.967395,-496.594021,15.335658,-516.554762,-60.524805,72.991097,56.297898,-6.854516,-34.13,35.5,24.809411,0.024375,-16.503872,17.260477,12.021116,-2.279977,214.204564,250.387572,15.904831,234.272697,-63.044226,69.814067,55.035571,-8.847055,-36.669,31.739,23.636058,-1.238437,-16.503872,15.881618,11.282732,-2.964678,289.504365,359.248429,24.81616,321.581734,-89.048785,101.406183,71.943568,-5.628924,-51.855,44.826,37.318799,-3.870125,-24.444681,26.452865,16.946182,-2.900729,0
22,176.086206,187.375872,4.969012,181.912412,-28.829804,54.517579,30.949239,12.766283,-28.711,26.465,18.305766,0.640875,-14.846414,13.741913,8.423853,0.176865,-200.738423,-192.41719,3.385119,-196.008055,-55.035535,29.347406,31.445986,-12.602411,-28.3205,28.1735,18.513223,-0.36625,-13.396845,12.705295,7.71666,-0.250316,-540.519495,-511.750855,10.436636,-525.134619,-64.739161,73.270405,49.925118,13.344873,-36.47,39.99,29.891384,1.4775,-17.67767,18.575695,12.621213,1.086293,230.051181,254.739107,11.887528,242.549735,-64.944576,86.248996,53.86388,16.486637,-38.33,62.8405,35.969272,6.127187,-21.129765,21.059761,12.022216,0.275993,301.105159,367.472788,24.778128,342.116027,-74.367127,63.908664,54.89117,12.490423,-52.491,44.8255,33.850238,1.044937,-20.023143,21.064711,13.788214,1.221306,0
23,161.1362,201.531797,14.948792,177.639631,-44.987901,45.95487,32.355683,3.97067,-20.752,23.828,16.123635,-0.109812,-14.846414,15.122893,8.504626,0.656063,-215.136178,-176.638102,14.804451,-190.241865,-45.540859,44.538888,31.969782,-3.263033,-26.0255,20.752,17.039551,-0.280563,-14.432049,13.05107,8.016559,-0.47469,-563.26712,-528.777987,13.480956,-547.197234,-48.443886,73.128983,44.537742,16.867148,-31.74,44.675,28.610778,4.151875,-18.646406,17.67767,11.935019,1.493321,178.469155,224.87127,16.656163,204.079237,-59.905379,76.098125,49.173297,13.28415,-46.4865,42.0915,31.449265,2.716063,-25.618479,31.213815,15.5029,1.19585,285.121718,364.152921,34.453803,323.38468,-48.063462,69.741588,45.996037,19.030542,-47.31,52.244,39.883729,7.8435,-24.16891,19.615142,14.548957,1.316986,0
24,162.102815,183.301877,8.842072,172.089638,-36.943501,44.712483,32.885753,-1.959216,-20.3125,22.7535,14.592864,-3.1435,-13.741913,11.325022,7.483477,1.117847,-195.835698,-176.293388,8.069682,-184.027457,-46.265643,38.393423,33.587265,1.933495,-24.902,22.7045,15.239149,4.162563,-11.186429,11.739387,6.868485,-0.992645,-586.77842,-550.150289,15.650895,-570.933925,-61.044528,66.153375,53.874066,0.431335,-32.18,40.77,25.130751,-0.5,-17.819091,16.298811,11.814916,2.253019,137.865316,205.01854,27.0623,158.977934,-53.92962,70.36561,52.22235,7.285498,-33.398,40.918,25.41878,-1.598875,-18.160623,21.404122,12.519033,3.13319,281.981103,349.168975,25.664468,309.438766,-82.901553,74.890386,62.780821,6.223777,-42.6325,53.0785,33.659637,2.716625,-21.195526,21.411193,15.405054,2.991857,0
25,164.243935,202.603063,14.941873,184.864848,-36.253365,20.681459,24.289422,-9.141211,-19.58,25.1465,15.915085,-0.152438,-13.534731,11.876565,8.230791,1.557977,-216.413566,-178.261266,15.151961,-197.596305,-20.612516,34.284779,23.494311,8.493501,-25.5855,20.5565,16.245064,-0.280687,-11.324315,12.084455,7.575838,-1.579456,-595.617255,-542.930729,22.842993,-573.546685,-65.912959,49.30302,42.655267,-13.424422,-33.69,42.14,29.668562,-1.78875,-16.369522,14.50276,12.058216,1.575964,88.733769,156.924319,25.050525,125.24567,-67.534354,56.278275,47.660553,-12.8613,-45.0195,47.9,29.818798,-0.976563,-18.299216,24.997639,12.063513,3.573585,297.722714,324.102747,11.111018,312.680762,-99.609779,68.119485,60.032016,-23.728824,-56.637,52.537,42.469759,-2.129813,-20.853993,22.995113,16.062016,0.772293,0
26,178.848518,201.393911,10.214094,190.708113,-45.402619,40.741725,33.592469,-3.504421,-25,26.7085,16.049384,-3.49125,-14.432049,12.43023,8.181604,2.192561,-213.651253,-191.623109,10.610469,-202.878747,-40.533836,45.851279,33.765869,4.488802,-28.1245,21.68,15.634021,3.515687,-10.979954,12.843888,7.545393,-2.114735,-613.606052,-562.648401,18.92771,-582.93883,-69.947003,68.670675,50.60652,-11.349064,-36.62,42.33,26.859011,-2.27625,-18.787827,14.156278,12.496768,2.420073,49.925274,112.315427,25.22673,93.360015,-90.28799,72.298486,58.140175,-17.039329,-40.1855,38.037,26.252887,-6.420875,-22.304269,20.093853,13.752079,2.908861,290.541691,347.167509,21.864415,319.512121,-75.200806,95.362895,64.092151,-11.619267,-50.1505,52.78,38.713771,-3.895062,-23.405942,23.334524,17.098418,1.942467,0
27,169.042715,196.767665,10.803086,182.861879,-40.844963,42.088056,32.339534,6.223424,-24.072,27.4415,16.593022,-0.72625,-14.846414,10.150518,7.810853,2.585271,-209.128598,-181.644772,11.478766,-196.008144,-43.296855,40.707077,32.230642,-6.43918,-27.734,19.5305,16.860577,1.147437,-10.426997,14.846414,7.56721,-2.589469,-606.496093,-585.746044,9.05895,-595.680895,-71.919831,64.944222,55.64987,6.827116,-36.23,39.99,27.30122,0.8375,-15.952329,13.880506,11.350006,3.326937,52.238574,81.448802,10.417047,65.600859,-67.154992,63.218528,55.241743,6.490798,-37.256,42.5785,24.965901,-0.988688,-17.608373,24.78975,11.86468,3.935977,307.151629,350.82714,16.675176,331.9062,-80.378242,77.925996,65.543263,11.357903,-51.2705,55.9085,41.827898,-1.855375,-23.752424,22.649337,15.773732,3.211325,0
28,187.445169,200.600891,4.833345,194.566618,-28.96769,43.848752,28.639928,10.349392,-27.93,25.586,17.964441,-0.66525,-15.122893,11.739387,7.981677,1.160981,-211.475839,-201.325321,4.13363,-208.170292,-44.505301,29.865362,29.011985,-10.056473,-25.9275,24.7065,17.66908,-0.214,-12.498112,15.260779,8.021429,-1.143834,-634.462166,-592.760544,17.990199,-611.452027,-23.136534,59.80002,39.491113,16.898968,-38.625,41.745,30.277941,3.344375,-18.710045,15.676557,11.990747,2.625576,23.201941,37.08174,5.750732,28.967778,-20.647518,65.87725,41.676818,21.924464,-37.891,44.922,29.420165,2.575688,-20.92329,20.094561,12.410987,2.183767,290.749227,356.145998,29.196993,326.028022,-47.958457,77.996706,52.01598,23.882708,-50.9285,50.7315,43.589476,5.18275,-22.302148,31.555347,16.855206,4.30354,0
29,177.605424,206.953538,11.018118,191.709641,-49.028309,43.918049,36.394288,-0.88026,-25.635,26.709,15.115346,2.136312,-12.982481,12.706002,7.34303,0.47469,-216.690045,-192.796907,9.419395,-204.941907,-42.95108,47.439794,35.819661,0.941071,-26.6115,22.7055,15.501969,-2.093312,-14.086981,11.945862,7.331183,-0.617172,-649.307873,-603.971722,17.432575,-626.347232,-73.334044,58.590868,54.588156,6.612332,-39.16,37.405,24.143241,0.231875,-16.645294,16.984705,11.169591,1.433217,-30.797682,20.819699,21.551129,-7.034829,-82.207881,76.959734,64.05787,11.385303,-43.7985,45.166,31.474983,3.485125,-18.852174,45.160789,16.928921,2.326116,290.473809,337.357817,19.200156,309.556765,-82.242529,79.2398,63.335451,14.701015,-41.406,38.285,26.422908,-1.275562,-19.954553,22.029205,13.091118,2.292308,0
30,174.394453,200.807366,10.775997,183.768302,-41.639751,28.41544,25.130236,-10.047369,-23.7305,24.8045,17.531103,-0.854562,-14.9843,13.326842,7.513345,-0.682049,-212.925762,-185.028278,11.037975,-195.377846,-29.727123,39.843699,25.142135,9.089327,-22.2655,20.947,16.289481,0.78725,-14.708528,15.467961,7.863265,0.815736,-655.799113,-607.878487,17.426513,-633.774505,-68.122667,59.764665,46.3531,-11.136932,-40.725,40.72,29.603528,-0.40375,-18.851467,16.638223,11.410524,-1.027956,-56.830879,-9.564326,17.339302,-36.537887,-65.945486,54.483285,44.165639,-16.374207,-39.209,40.625,27.814884,0.176937,-29.830714,30.037896,13.692383,-0.677541,293.479013,346.578843,18.88124,320.020531,-85.799276,88.940244,66.080215,-8.208537,-58.6925,49.8055,42.84575,-0.764313,-30.3865,23.136534,16.636837,-1.472329,0
31,191.795643,210.267747,7.471107,202.896071,-56.001796,35.113155,32.592618,-14.086893,-27.8805,23.291,18.475253,-1.879687,-12.498819,12.774591,7.363696,-1.829948,-224.147193,-207.885505,7.74246,-215.697002,-33.318518,53.447373,31.372789,14.647982,-25.1955,26.221,18.358092,1.666062,-14.570642,12.360934,7.898776,1.730953,-658.768962,-599.973033,23.407842,-623.716795,-69.745477,43.614346,42.294503,-16.872452,-42.19,31.445,28.823322,-2.191875,-15.471496,16.503872,10.746401,-1.678937,-103.925605,-30.901627,28.592745,-57.547532,-79.722754,50.996188,49.141804,-21.018219,-42.5295,31.7385,28.146868,-2.337625,-18.367806,16.987533,11.049506,-2.973561,275.867811,360.912251,33.761472,326.460064,-73.749116,49.1319,52.103535,-19.084458,-35.647,43.508,30.545584,2.081375,-16.918237,21.821315,12.837487,-0.746882,0
32,187.445876,199.494976,5.212366,192.926572,-44.781426,33.628938,33.376675,2.011277,-29.1015,26.3675,17.278843,3.179938,-9.321789,11.73868,6.203253,-1.186835,-210.854292,-199.2885,5.345354,-205.364846,-33.698234,42.606366,32.298892,-2.347595,-25.0005,26.172,16.429208,-2.868625,-13.258252,10.979954,6.522801,1.251579,-647.787593,-616.505189,13.071309,-633.218542,-64.834621,63.908311,55.142223,0.312011,-38.085,29.445,24.679145,2.306875,-14.021927,16.164461,10.71352,-2.485922,-98.124854,-71.0561,13.246708,-84.331676,-74.371016,61.940786,57.359047,-6.076876,-37.305,37.5,26.752639,3.33225,-16.572462,21.682722,10.530904,-1.527704,294.575382,359.392678,26.039411,326.845791,-72.95751,85.551082,67.299246,-1.829992,-38.6675,35.4,30.557821,1.233,-18.299216,23.200173,13.490458,-2.346711,0
33,172.219039,207.229663,15.057959,187.937492,-16.365279,34.871678,23.063053,10.953614,-33.9845,16.8945,18.862248,-1.0925,-10.426997,15.192189,7.976157,-0.755367,-219.866015,-186.409611,14.648089,-201.212891,-34.354076,17.194362,23.087363,-9.607106,-17.3345,31.2985,17.947718,0.872625,-15.813029,11.946569,8.35351,0.539434,-676.206215,-636.983002,17.547237,-655.075213,-52.31176,69.43435,44.878599,16.089331,-45.8,32.03,30.352789,1.513125,-14.707821,17.119055,11.708246,-1.588781,-138.797637,-93.22213,17.68534,-117.347641,-23.132998,74.128832,35.357704,23.832062,-61.5725,24.9025,30.360119,-6.231563,-22.304269,22.85652,13.901821,-1.808293,271.102265,343.469341,25.715529,305.818733,-78.929734,85.418499,59.93068,17.573548,-58.4945,40.475,40.750939,0.646625,-21.544129,16.228101,13.663115,-2.26999,0
34,186.409965,210.785349,10.359719,196.750694,-47.785216,36.909206,33.591463,3.86699,-31.0065,20.0685,17.466573,0.341625,-15.74444,15.260779,8.664819,-2.339286,-222.662622,-201.014548,9.013982,-209.662906,-36.736672,47.196549,33.103668,-3.142294,-23.291,29.8825,17.408652,-0.342187,-16.572462,12.291637,8.761388,2.166443,-666.709771,-619.7897,17.451304,-648.308201,-65.361415,68.500969,48.909934,12.410608,-43.12,37.745,28.406988,2.806875,-16.02304,17.331187,11.074816,-2.425818,-151.226806,-131.408371,8.613497,-140.048774,-56.726934,72.160247,45.884423,12.921404,-45.362,38.525,33.588826,2.898937,-23.685249,26.309322,13.702053,-2.921809,271.897407,351.032908,28.772983,305.637449,-81.235255,86.455118,60.938818,16.13379,-49.4155,43.309,35.721073,4.717938,-24.034559,16.567512,14.704222,-2.88831,0
35,182.404912,220.418265,15.203851,199.184644,-46.230995,42.985375,32.586981,-4.281443,-27.1485,16.211,16.537061,-0.451812,-11.600794,15.191482,7.754382,-1.329317,-235.022849,-194.834788,15.425557,-212.900659,-46.369234,46.370295,33.862533,3.219988,-19.4815,26.7085,15.95665,1.153875,-16.089508,9.598267,7.66747,1.497652,-674.654115,-640.020025,12.474116,-659.356744,-63.667895,73.302224,55.051247,-5.625918,-38.135,33.735,26.69702,-0.538125,-15.676557,19.608071,11.184468,-2.409024,-181.506179,-125.021075,22.557494,-160.066083,-68.36273,80.757605,59.909581,5.093025,-52.783,23.5355,28.63914,-5.969687,-18.989353,22.097087,10.743858,-2.321741,286.848472,336.015021,19.988953,301.762857,-72.367429,91.186723,66.803955,-5.055725,-54.493,44.2885,36.478461,1.587063,-24.720453,27.47817,15.877143,-2.779416,0
36,164.968366,185.891655,8.180931,176.655868,-47.57768,20.094207,26.599602,-11.480144,-28.32,22.803,18.571227,-3.625438,-12.360227,12.912477,7.696105,-1.519263,-198.252589,-179.228235,7.794602,-190.060845,-19.611253,46.162052,25.753443,11.436833,-25.6345,28.5645,19.300647,2.911313,-12.706002,10.358407,7.288737,1.480372,-695.641045,-643.923255,21.620255,-673.924028,-60.48945,24.92905,41.4377,-18.211535,-38.28,37.11,31.155989,-3.71,-17.401898,18.434274,12.36591,-2.304284,-224.146839,-172.978825,24.465539,-199.304145,-74.576077,33.211038,49.392949,-23.978963,-40.0375,46.2895,32.14373,-7.518313,-18.092034,19.955968,12.758693,-2.425509,260.572738,321.028246,23.059993,284.724766,-68.259492,39.153917,48.079793,-17.782233,-41.8905,41.65,35.130012,-3.625437,-22.029205,20.647518,14.928171,-1.872817,0
