@relation dwt

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
10,106.549678,142.077551,14.702324,120.152998,-43.71122,43.918402,31.920609,4.609099,-24.121,29.4925,17.413109,2.124,-12.360934,13.327549,7.559925,-0.060369,-155.612282,-116.977028,15.29326,-132.634671,-44.194174,41.70834,31.20137,-5.006493,-32.129,24.317,17.762497,-2.63675,-11.946569,9.943336,7.178046,0.189858,-244.311757,-184.994337,23.817805,-220.401383,-56.141096,71.331164,46.091473,11.600175,-34.8625,40.967,29.560388,3.015438,-18.575695,18.575695,12.434423,0.267861,-60.594455,14.155571,29.009476,-29.520471,-60.766989,75.164744,49.240311,8.907954,-43.3105,56.4455,33.613547,2.99075,-22.442155,15.950915,11.521807,-0.207094,305.838179,376.02984,27.331668,334.168147,-51.86204,77.09762,50.902525,18.092122,-53.0735,54.685,39.605001,5.115813,-26.862987,20.994,16.573291,0.362878,1
11,112.038948,136.967291,9.963582,121.551125,-33.83612,44.401003,32.87185,-1.519219,-24.1695,24.121,15.020065,-1.245125,-16.365279,12.706002,7.450352,0.466249,-151.295749,-125.05537,10.602017,-134.049856,-44.194174,34.319781,32.307348,1.812757,-28.516,24.3165,15.601064,1.782187,-12.291637,14.501346,6.976228,-0.276258,-230.84703,-199.389263,12.788258,-217.880017,-63.630418,75.681992,57.852196,0.674491,-30.417,39.6,24.712704,-0.610687,-19.680196,17.401898,11.904757,1.536145,-49.061897,-5.213852,19.875219,-28.950631,-67.499353,69.363993,55.811267,-3.280003,-32.471,36.035,24.972176,-4.052687,-18.713581,25.066228,11.442669,1.07025,296.825042,340.709857,20.209324,319.690842,-82.726897,101.060055,74.672988,5.118834,-39.259,47.9495,34.829136,0.701688,-22.995113,35.5604,17.50715,2.567991,1
12,100.748928,132.616463,13.096586,113.394118,-38.083357,12.325932,24.117195,-13.008113,-21.631,25.3905,15.940653,-2.203375,-13.119659,10.496293,7.85212,0.703571,-144.252612,-111.279162,13.361536,-125.651461,-13.154307,37.322864,24.105083,13.059732,-28.0765,23.4375,16.766398,1.81275,-10.841361,13.120366,7.697994,-0.522287,-226.115778,-190.172833,15.588664,-211.095504,-69.673352,45.538737,43.968306,-16.106743,-31.494,41.162,28.636025,-1.976938,-18.22992,16.780351,12.867189,0.7593,-29.071635,3.176677,13.369368,-11.471393,-78.030294,44.71213,46.019552,-19.42988,-33.7405,48.6815,30.002883,-4.79125,-22.02779,22.165676,13.733308,0.107922,300.553262,359.90922,22.040549,330.257404,-73.470869,68.987812,52.052036,-10.468362,-45.752,60.0095,40.86428,-0.1165,-21.197647,22.234973,15.780331,1.290205,1
13,113.903589,133.23907,7.262497,124.434353,-38.566665,39.464337,32.725138,-5.990432,-23.3395,24.8045,14.670048,-2.722125,-13.396138,11.462908,7.302064,1.381068,-145.357113,-127.196843,7.150997,-136.7518,-39.843699,40.085176,33.28161,6.982856,-25.6835,20.41,14.171582,2.86275,-10.495586,12.498819,6.879756,-1.368075,-234.954966,-192.002826,15.478305,-210.734349,-71.370055,70.399198,52.577585,-12.309757,-33.203,42.383,26.550843,-1.941187,-18.299923,13.81121,12.176182,1.95051,-3.694633,26.550799,12.529961,8.950823,-70.537791,61.457832,46.950101,-9.382688,-39.209,40.4295,27.032298,-6.292688,-23.409477,16.642465,12.899139,1.713364,302.175012,376.165605,26.357723,342.079876,-85.662805,91.327791,64.974416,-14.630039,-38.0865,53.175,36.002754,0.7855,-28.102545,21.268358,15.762907,1.540609,1
14,111.486698,138.900874,10.245673,128.421994,-37.737582,43.468682,28.965677,3.832254,-21.4355,31.836,16.589876,2.209438,-12.360934,9.874746,6.976312,2.814064,-150.39843,-123.847278,9.795324,-139.841945,-41.432215,35.355693,27.31634,-3.616586,-31.738,17.2845,16.91408,-1.861562,-11.186429,11.117133,6.30929,-2.757849,-214.342097,-178.467388,13.946362,-195.412053,-70.883212,66.808863,55.321775,8.019386,-38.474,43.701,27.926378,1.935562,-19.472307,14.294164,12.504129,3.534517,-0.55225,36.460193,13.963638,20.362377,-69.328991,76.960441,59.338301,8.468134,-40.918,46.9725,27.973952,5.682375,-25.135525,24.928342,14.998165,3.819614,319.230781,372.44092,20.837338,346.630108,-91.462141,85.757557,76.238557,11.047129,-41.404,58.84,37.553906,-2.696625,-25.001174,20.92329,16.497545,3.399946,1
15,99.541189,124.365234,8.801775,111.52992,-26.136788,44.505301,26.084539,11.402539,-22.314,28.2225,18.525106,0.054938,-11.807976,9.80545,6.893449,2.231231,-138.002849,-110.934447,9.794393,-122.448797,-43.192557,27.034814,25.741086,-10.617032,-26.3675,18.848,17.388615,-0.48825,-10.841361,11.394319,6.684566,-2.27874,-234.020525,-190.688668,18.964506,-211.923615,-26.929455,64.564152,43.14108,18.282423,-38.0375,41.504,31.188886,2.428875,-17.883438,14.777825,11.948755,3.193913,-17.919854,14.812119,14.334779,-3.055674,-28.138961,64.047611,44.362501,16.365898,-42.6265,42.578,33.495305,2.734437,-16.84894,22.994405,12.184285,3.91008,290.230211,359.734918,28.388377,329.003085,-51.617381,85.383497,59.613439,19.28183,-45.218,57.515,40.377499,5.309188,-20.991172,22.028498,15.328758,3.365431,1
16,107.101929,134.999412,10.712046,119.082439,-34.285133,31.350286,27.908479,0.914996,-31.396,28.5155,16.196475,-1.184125,-12.222341,8.908131,6.734799,1.415628,-145.806125,-121.188556,9.834949,-130.243324,-31.592117,33.697881,27.83842,-0.543854,-28.2715,27.686,16.061544,1.593063,-10.013339,12.498819,6.992643,-1.27319,-234.332005,-174.119388,21.521055,-207.376476,-72.852151,60.525158,56.232742,5.153306,-41.651,38.7695,26.581838,-0.824937,-17.469073,16.089508,11.646329,2.473592,-22.891875,51.651675,26.620228,12.187781,-76.09671,72.471374,61.396323,8.717831,-48.828,40.283,29.522088,2.880937,-21.406244,23.753838,14.109286,3.469994,286.225511,384.93479,35.072265,335.752419,-105.271229,80.302935,77.155558,5.713865,-43.3545,36.7195,30.201196,-1.635437,-23.68737,24.306796,16.006301,2.580454,1
17,96.467396,149.051392,22.344407,124.442662,-40.844963,29.347406,26.167861,-6.637788,-22.0215,33.9845,18.653938,1.885875,-14.432049,10.496293,8.058111,0.211602,-159.409799,-107.481645,22.171287,-136.596236,-28.138607,38.220889,25.181485,6.396134,-32.324,18.6035,18.071034,-1.202125,-12.498112,15.053596,8.392939,-0.185527,-217.135875,-160.031346,20.733503,-190.560063,-66.670977,67.187519,50.103952,-12.853168,-42.478,39.0135,30.380671,0.372188,-17.332601,15.813029,12.180338,-0.392665,13.844797,63.908664,18.821722,44.133539,-61.284945,75.475871,50.909136,-6.896589,-46.533,61.084,35.755939,1.703125,-30.107193,16.572462,14.615642,-0.62579,323.550143,375.618658,21.268311,354.814781,-89.976863,72.679971,64.470636,-21.54298,-48.585,65.4315,46.153865,3.479188,-22.025669,26.035672,16.696174,-0.611957,1
18,108.482555,128.957185,8.029881,115.388159,-45.88628,41.984819,31.693371,-8.199964,-26.66,19.141,14.821332,-3.539875,-14.432049,7.11208,6.178585,-1.035823,-138.348624,-117.908642,7.867753,-125.453029,-43.676572,44.780719,31.951033,7.043049,-19.14,25.2935,15.098615,3.320563,-8.907424,13.879799,6.630561,0.906467,-245.313727,-174.87776,27.781109,-206.98854,-74.546732,55.139126,46.423025,-11.877803,-41.5995,41.162,30.16477,-3.28375,-16.363158,18.299216,11.043017,-1.001352,3.93611,67.983014,24.722175,43.564142,-58.246507,53.965329,41.995388,-6.395958,-43.8965,47.754,28.902743,-5.68225,-27.483119,18.920763,12.348295,-2.21404,300.552555,395.64074,38.184118,348.822404,-90.146215,52.247767,54.396499,-20.298826,-50.338,52.9745,40.464987,-0.182187,-24.927635,23.751717,15.887798,-0.86404,1
19,100.33421,142.077551,15.189824,124.684581,-48.094928,32.420846,32.951723,-0.388113,-22.363,26.025,14.902785,-0.531062,-13.465434,15.260779,7.710627,-1.489034,-153.954824,-111.175924,15.464747,-135.785008,-32.731619,47.232612,32.505286,0.267463,-24.902,19.483,14.873958,1.00725,-17.056123,14.639232,8.464991,1.644377,-229.464989,-201.084198,11.411538,-211.373927,-69.609713,65.462885,57.554077,0.344626,-39.3565,32.08,24.688658,1.831188,-14.433464,15.192189,10.274115,-1.838433,30.348669,55.173421,9.352641,45.928972,-68.915334,68.535264,57.273247,-1.01019,-50.049,30.2245,24.809343,-2.813813,-19.956675,15.675143,10.73319,-1.324897,333.216292,355.069781,8.408679,345.948899,-75.646991,96.886003,76.275682,5.102571,-60.6905,41.9935,38.439384,3.582188,-20.094561,31.001683,15.11506,-1.100744,1
